Depth (cm),Cal age,Cupressaceae,Picea,Picea mariana,Picea glauca,Picea rubens/mariana,Abies,Larix,Pinus indeterm,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Pinus banksiana-t.,Pinus resinosa t.,Vesiculate conif.,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer negundo-type,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus,Alnus rugosa,Alnus crispa,Arceuthobium,Corylus,Corylaceae,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Kalmia t. ER,Ledum t.,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Saxifraceae,Rhus,Poaceae,Zea, Artemisia,  Ambrosia,Urtica spp,Urticales,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Caryophylaceaae,Rumex,Plantago,Polygonella t.,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Potentilla,Brassicaceae,Epilobium,Campanulaceae,Lamiaceae,Impatiens,Iridaceae,Sanguisorba,Other herbs, Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,L. complanatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Dryopteris-type,Upland sum,Equisetum,Myriophyllum exalbescens-type,Sphagnum,Typha,Sparganium,Menyanthes,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Polygonum amphibium-type,Sagittaria,Lycopus-type,Utricularia,Pediastrum,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Indet. Degraded,Unknown,PreQuat.,Pinus stomata,Tsuga stomata,Picea mariana t. stomata,Exotic count,Exotic spike
80,834.807,5,2,0,0,0,0,1,0,37,5,45,0,0,0,51,0,1,4,61,0,0,6,6,3,0,206,6,5,4,0,0,0,2,1,21,0,0,28,7,0,0,0,0,10,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,3,555,10,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,8,0,0,1,0,0,0,0,0,609,85432
84,895.824,2,3,0,0,0,0,0,0,30,5,56,0,0,0,66,0,0,0,67,0,0,5,5,3,0,201,6,6,1,0,0,1,1,0,19,1,0,27,7,0,0,0,0,5,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,541,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,3,0,0,0,0,0,479,85432
88,956.841,3,3,0,0,0,0,0,0,26,4,63,0,0,0,61,0,5,1,50,0,0,6,3,7,0,216,5,2,3,0,0,1,1,2,21,0,0,44,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,2,558,9,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,287,85432
92,1017.858,0,2,0,0,0,0,0,0,26,5,52,0,0,0,60,0,0,0,73,0,0,8,4,0,0,241,8,3,0,0,0,1,0,1,18,0,0,17,8,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,555,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,556,85432
96,1098.197,3,4,0,0,0,0,0,0,26,5,62,0,0,0,46,0,2,2,59,0,0,10,7,4,0,213,9,1,3,0,0,1,0,0,18,2,0,35,2,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,10,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,4,550,16,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,322,85432
100,1216.212,0,0,0,0,0,0,0,0,36,4,70,0,0,0,49,0,0,0,58,0,0,2,7,2,0,209,5,5,2,0,1,3,0,0,19,0,1,46,2,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,4,547,16,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,336,85432
104,1334.227,1,3,0,0,0,0,0,0,16,2,65,0,0,0,52,0,1,2,76,0,0,10,4,2,0,189,9,2,3,0,0,2,3,1,22,0,1,39,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,537,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,235,85432
108,1452.242,2,1,0,0,0,0,0,0,31,2,74,0,0,0,56,0,0,2,73,0,0,2,2,0,0,195,3,7,2,0,0,2,0,0,21,1,0,37,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,533,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,412,85432
112,1570.257,2,4,0,0,0,0,0,0,28,7,86,0,0,0,36,0,2,0,56,0,0,12,6,5,0,210,6,6,2,0,0,1,3,2,22,2,1,40,5,0,0,0,0,6,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,2,573,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,135,85432
116,1687.655,3,2,0,0,0,0,0,0,39,2,67,0,0,0,41,0,2,1,65,0,0,1,7,5,0,223,8,2,2,0,0,0,0,1,23,1,0,32,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,4,556,8,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2,1,0,0,0,0,251,85432
120,1804.842,3,0,0,0,0,0,0,0,36,3,71,0,0,0,36,0,0,0,73,0,0,4,12,4,0,224,7,2,5,0,0,2,0,0,17,0,0,25,5,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,548,7,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,114,85432
124,1922.029,2,1,0,0,0,0,0,0,40,2,47,0,0,0,45,0,0,2,85,0,0,5,3,4,0,221,5,4,2,0,0,3,0,2,21,0,0,41,5,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,3,559,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,315,85432
128,2039.216,4,2,0,0,0,0,0,0,26,4,70,0,0,0,36,0,0,5,68,0,0,8,10,6,0,224,7,4,1,0,0,0,0,1,15,0,0,27,3,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,5,550,7,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,247,85432
