Depth (cm),Cal age,Cupressaceae,Picea,Abies,Larix,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betuloid,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Juglans,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Other shrubs,Poaceae,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Impatiens,Other herbs,Dennstaeditia, Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Selaginella,Monolete spore,Trilete spore,Upland sum,Eriocaulon,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Saggitaria,Pediastrum,Equisetum,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,Exotic count,Exotic spike
379,8582.234,,0.5,,,13.5,5,,224,,,,73,,8,7,2,3,1,42,5,3,,3,2,,2,,,4,,117,,3,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,522,,,,,,,,,,,1,,18,,,32,,133,42716
384,8846.033,,,,,15,3,1,268.5,,,,70,,10,4,,3,1,49,8,8,,2,3,,2,,,2,,89,,2,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,544.5,,,,,,,,,,,2,,12,6,,31,,115,42716
389,9102.311,,2,,,15.5,5,,177.5,,,,96,,14,8,1,2,6,50,14,14,,7,,,,,,,,103,,1,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,520,,,,,,,,,,,8,,10,,3,49,,129,42716
394,9337.404,,0.5,,,34,2,,158,,,,138,,8,3,2,2,2,58,7,12,2,1,6,,1,,1,1,,71,,2,,,,,,,1,1,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,518.5,,,,,,,,,,,6,,14,,2,30,,101,42716
399,9572.877,,4,,,41.5,7,,179.5,,,,91,,14,2,1,8,6,65,9,10,2,4,6,,,,,2,,54,,3,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,9,,18,,1,49,1,110,42716
404,9816.85,,7,,,17,62,,211,,,,52,1,5,8,3,5,6,103,4,19,,16,2,,,,2,,,40,,,,,,,2,,1,,,1,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,572,,,,,,,,,,,11,,25,17,2,34,,142,42716
414,10319.81,,,,,112.5,23,4,195,,,,20,,3,8,,11,3,93,10,8,4,1,1,,,,,1,,,,,,,1,,,3,1,1,,,,,,,,,,,,2,,2,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,2,,512.5,,,,,,,,,,,1,1,9,1,2,24,1,89,42716
424,11062.4,,108,0.5,,294.5,18,25,32,,,3,20,,24,1,1,,4,102,6,,1,2,,,,,5,,,2,,,,,,,,,5,,,,,,,,,,2,,1,2,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,4,,665,,,,,,,,,,,48,,10,7,1,37,,179,42716
434,11785.53,1,409,,,74,,7,,,,4,5,1,21,,,2,,10,3,,,3,,,,1,1,,,,,,,,,,,6,5,,,,,,,,,,6,,3,5,,1,,,,,,,,6,,,,,,,,,,,,,2,,,,,,1,,,6,,583,,,,5,,,,,,,112,,26,6,1,21,1,372,42716
444,12449.23,5,374,,,51,,6,8,,,4,8,3,12,,,1,4,19,1,,,,,,,,1,,,6,,,,,,,,3,2,,,,,,,,,,,,2,1,,4,,1,,,2,,,14,,,,,,,,,,,,,1,,,,,,,,,6,1,540,,,,,,,,,,,99,,21,6,,22,,374,42716
454,13141.51,9,349,,,74,,11,,,,31,8,,18,,,,,16,,,,5,,,,1,,,,,,,,,,,,4,8,,,1,,,,,,,1,,9,10,,,,,,,,,,19,,,,1,,,,,,,,,,,,,,1,1,,1,2,,580,,,3,2,,,,,,,158,1,46,13,,14,3,544,42716
464,13833.76,,94,,,103,,16,,,,43,14,1,18,,,,,9,1,,,2,,,,1,,,,,,,,,,,,9,8,,,,,,,,,,8,,28,12,,17,,,,,3,,,96,,,1,,,,,9,,,,,3,,,,,2,,,,13,,511,,,3,,,,,,,,157,1,52,7,1,11,4,882,42716
474,14485.1,43,139,1.5,0,198.5,12,16,0,0,2,41,16,2,24,0,0,0,0,5,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,16,2,0,0,2,0,0,0,0,0,0,21,0,27,8,0,1,0,0,0,0,5,0,3,102,0,0,3,1,0,0,0,6,0,0,0,0,5,0,0,2,0,1,0,0,0,5,4,723,0,0,3,2,0,0,0,0,0,0,3,0,80,14,6,26,7,1010,42716
