Depth (cm),Cal age,Cupressaceae,Picea glauca,P. mariana,P. indet.,P. rubens/undiff,Abies,Larix,Pinus undifferentiated,Pinus indeterminable,Pinus haploxylon,Pinus diploxylon,Pinus banksiana t.,P. resinosa t.,P. rigida t.,vesiculate conif ,Tsuga,Taxus,Taxodium t. papilate,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus undiff,Quercus,Ulmus,Acer saccharum,Acer rubrum,A. negundo,Acer spicatum t.,Acer ,Tilia,Magnolia,Juglans nigra,Juglans cinerea,Juglans,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Other trees,Ilex,Alnus rugosa,Alnus crispa,Corylaceae,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Rhus, Ericaceae,Viburnum,Hammamelis,Cornus,Ptelea trifoliata t.,Cephalanthus,Clethra,cf. Ribes,Other shrubs,Poaceae,Secale,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Cannabis/Humulis,Polygonum bist.,Polygonum aviculare  t,Phlox,Xyris,Epilobium,Dalea candida t.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Brassicaceae,Rubus Chamaemorus,Hypericum t.,Liliaceae,Saxifraga oppositifolia t.,Scrophulariaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Lamiaceae,Solanaceae,Other herbs,Dennstaeditia, Pteridium,Botrychium,Dryopteris t.,Polypodium t.,Gymnocarpium.,Lyc. lucidulum,L. obscurum t..,L. selago t.,Lyc. annotinum,Lyc. clavatum,L. inundatum,Lycopodium undifferentiated,Osmunda,Asplenium t.,Woodsia,Sellaginella sp.,Monolete spore,Trilete spore,Other Pterid,Upland sum,Myriophyllum,Sphagnum,Eriocaulon,Typha,Sparganium t.,Pontederia sp.,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Sagittaria,Lemna,cf.Equisetum,Other Aquatics,Degraded,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,PreQuaternary,Cupressaceae stom.,Exotic count,Exotic spike
0,-49,4,0,0,0.5,0,0.5,0,106,0,21,30,0,0,0,0,3,0,0,0,2,48,0,0,3,0,7,0,299,4,14,9,0,0,0,0,0,0,0,0,7,0,0,7,0,4,0,1,0,5,6,0,0,0,18,1,0,31,0,0,1,0,6,14,0,0,28,0,0,0,29,0,8,0,1,0,0,0,0,0,0,0,0,6,5,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,29,1,0,772,0,8,0,1,0,0,0,7,0,0,0,0,0,0,0,0,5,2,2,7,8,0,0,747,85432
4,-34.779,8,0,0,4,0,0,0,62.5,0,5,28,0,0,0,0,9,0,0,0,0,40,0,0,0,0,4,2,227,5,9,15,0,0,1,0,0,0,1,0,6,5,0,6,0,4,1,0,0,3,4,0,0,2,25,2,0,36,0,0,0,0,8,12,0,1,22,2,0,0,50,0,6,0,3,0,0,0,0,0,0,0,0,8,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,49,4,0,697.5,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,12,5,13,6,5,0,0,518,85432
8,-20.414,1,0,0,7,0,0,0,70.5,0,9,29,0,0,0,0,2,0,0,1,1,46,0,1,3,0,3,0,235,2,11,6,0,0,0,0,0,0,0,0,10,2,0,5,0,4,1,0,0,2,9,0,0,0,20,1,0,18,0,0,0,0,10,14,0,0,17,0,1,0,23,0,6,0,2,0,0,0,0,0,0,0,2,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,626.5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,17,9,0,0,412,85432
12,-6.048,7,0,0,3,0,0,0,64,0,2,35,0,0,0,0,7,0,0,0,4,39,0,1,3,0,6,1,221,6,6,12,0,0,0,0,0,0,2,0,8,2,0,9,0,6,1,0,0,10,3,0,0,0,30,3,0,38,0,0,0,0,5,16,0,0,15,1,0,1,24,0,1,1,2,0,0,0,0,0,0,0,3,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,50,4,1,680,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,1,9,3,0,0,628,85432
16,8.317,6,0,0,7.5,0,0,0,62,0,9,49,0,0,0,0,2,0,0,0,2,47,0,2,1,1,2,0,217,3,10,9,0,0,2,0,0,1,0,0,2,0,0,7,1,4,1,0,0,1,6,0,0,1,17,3,0,29,0,0,0,0,8,17,0,0,21,0,0,0,36,0,5,0,1,0,0,0,0,0,0,0,0,11,5,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,45,0,0,671.5,2,5,0,2,0,0,1,1,0,0,0,0,0,0,0,0,13,6,15,18,10,0,0,662,85432
20,22.683,12,0,0,4,0,0,0,53,0,6,16,0,0,0,0,3,0,0,0,0,30,0,2,1,0,4,2,232,11,3,11,0,0,0,0,0,0,1,0,5,1,0,13,1,4,0,0,0,3,4,0,0,0,32,2,0,40,0,0,0,0,8,14,0,0,31,2,0,2,42,0,2,0,0,0,0,0,0,0,0,0,2,23,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,6,0,697,8,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,7,7,12,7,0,0,658,85432
24,37.048,10,0,0,8,0,0,0,49.5,0,4,16,0,0,0,0,8,0,0,1,0,44,0,3,5,0,7,0,241,6,6,11,0,0,0,0,0,0,0,0,11,3,0,5,2,9,2,0,0,2,3,0,0,0,20,3,0,22,0,0,0,0,16,26,0,0,33,0,0,0,30,0,7,1,1,0,0,0,0,0,0,0,0,15,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,57,2,0,715.5,1,7,0,1,0,0,0,5,0,0,0,0,0,0,0,0,11,6,18,15,8,0,0,877,85432
28,51.414,7,0,0,5,0,0,0,57,0,2,16,0,0,0,0,9,0,0,1,0,47,0,3,3,0,2,2,234,2,4,12,0,0,0,0,0,0,0,0,8,1,0,10,1,4,0,0,0,2,6,0,0,0,18,4,0,34,0,0,0,0,6,28,0,0,33,2,0,1,21,0,4,1,0,0,0,0,0,0,0,0,1,27,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,58,5,0,701,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,9,14,6,0,0,753,85432
32,65.779,10,0,0,2.5,0,0,0,51,0,9,17,0,0,0,0,10,0,0,1,1,39,0,2,6,0,4,0,239,1,5,8,0,0,0,0,0,0,1,0,6,4,0,8,5,9,0,0,0,5,6,0,0,3,24,2,0,22,0,0,0,0,7,7,0,0,35,2,1,0,29,0,4,2,2,0,0,0,0,0,0,0,0,30,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,46,4,0,688.5,0,4,0,0,0,0,0,5,0,1,0,0,0,0,0,0,23,17,27,28,11,0,0,787,85432
36,80.145,13,0,0,3.5,0,0,0,34,0,2,8,0,0,0,0,9,0,0,0,1,36,0,1,1,0,4,0,273,5,3,5,0,0,0,0,0,0,1,0,10,3,0,11,1,7,2,0,0,3,6,0,0,0,32,1,0,26,0,0,0,0,16,24,0,0,32,2,0,0,37,0,4,0,0,0,0,0,0,0,0,0,2,25,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,2,0,757.5,1,1,0,3,0,0,1,2,0,0,0,0,0,0,1,0,9,3,8,5,8,0,0,578,85432
40,96.396,9,0,0,3.5,0,0,0,63.5,0,7,13,0,0,0,0,5.5,0,0,0,0,38,0,5,2,2,1,3,220,0,8,8,0,0,0,0,0,2,2,0,9,0,0,15,5,6,0,0,0,0,5,1,0,1,36,7,0,28,0,0,0,0,21,14,0,0,44,0,0,1,28,0,3,1,0,0,0,0,0,0,0,0,0,18,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,71,6,0,736.5,1,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,23,9,20,38,12,0,0,848,85432
44,113.805,10,0,0,4,0,1,0,46,0,6,10,0,0,0,0,10.5,0,0,0,1,41,0,3,0,0,6,1,262,3,3,9,0,0,0,0,0,0,1,0,4,1,0,11,1,9,0,0,0,3,4,0,0,1,24,1,0,24,0,0,0,0,14,17,0,0,45,1,0,0,16,0,6,0,1,0,0,0,0,0,0,0,2,48,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,96,3,0,771.5,0,0,0,2,0,0,2,2,0,1,0,0,0,0,0,0,13,2,10,12,6,0,0,768,85432
48,131.215,4,0,0,8,0,1,0,46,0,4,11,0,0,0,0,11.5,0,0,0,0,36,0,2,9,4,1,2,259,0,6,2,0,0,0,0,0,1,0,0,13,1,0,9,6,10,0,0,0,4,1,0,0,0,23,1,0,24,0,0,0,0,21,18,0,0,30,1,1,1,20,0,4,1,1,0,0,0,0,0,0,0,0,37,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3,1,735.5,0,7,0,0,0,0,3,6,0,0,0,0,0,0,0,0,20,11,26,29,15,0,0,652,85432
52,148.625,6,0,0,1,0,0,0,44,0,2,15,0,0,0,0,15,0,0,0,0,28,0,2,4,2,1,2,260,5,2,12,0,0,0,0,0,0,0,0,3,5,0,19,2,7,0,0,0,2,6,0,0,1,28,0,0,31,0,0,0,0,5,9,0,0,26,3,0,0,19,0,1,1,0,0,0,0,0,0,0,0,0,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,84,2,1,725,0,4,0,1,0,0,1,2,0,1,0,0,0,0,1,0,8,2,4,5,6,0,0,639,85432
56,166.035,4,0,0,4,0,0,0,38,0,3,24,0,0,0,0,11.5,0,0,0,1,38,0,0,1,2,3,1,249,5,5,6,0,0,0,1,0,1,1,0,15,5,0,12,3,6,0,0,0,3,3,0,0,0,23,2,0,29,0,0,0,0,11,20,0,0,33,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,49,4,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,4,0,742.5,0,5,0,0,0,0,2,5,0,0,0,0,0,0,0,0,8,12,23,39,7,0,0,619,85432
60,183.445,10,0,0,0,0,0,0,45,0,10,13,0,0,0,0,12,0,0,1,0,31,0,3,2,2,1,0,240,1,5,1,0,0,1,0,0,1,0,0,14,0,0,8,1,10,0,0,0,2,6,0,0,4,24,0,0,38,0,0,0,0,10,15,0,0,20,1,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,47,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,86,3,0,704,0,8,0,0,0,0,1,4,0,1,0,0,0,0,0,0,14,8,15,20,11,0,0,919,85432
64,200.855,8,0,0,5.5,0,0,0,56.5,0,5,12,0,0,0,0,13,0,0,0,0,38,0,2,2,0,2,2,253,4,12,10,0,0,0,0,0,0,0,0,13,0,0,16,2,2,0,0,0,2,5,0,0,1,21,0,0,33,0,0,0,0,8,12,0,0,24,0,0,0,21,0,3,0,0,0,0,0,0,0,0,0,0,66,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,762,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,18,8,16,26,14,0,0,766,85432
68,218.265,6,0,0,3,0,0.5,0,54,0,6,11,0,0,0,0,20,0,0,0,1,67,0,2,2,1,2,2,250,3,3,8,0,0,0,0,0,0,0,0,5,2,0,20,5,6,1,0,0,2,3,0,0,2,15,0,0,28,0,0,0,0,4,16,0,0,8,1,0,1,9,0,1,1,0,0,0,0,0,0,0,0,0,47,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0,667.5,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,15,3,13,18,8,0,0,542,85432
72,235.675,5,0,0,6.5,0,0.5,0,44.5,0,7,13,0,0,0,0,16,0,0,1,0,50,0,2,2,0,3,1,267,6,8,7,0,0,0,0,0,0,0,0,8,0,0,12,3,8,0,0,0,0,2,0,0,0,33,0,0,22,0,0,0,0,5,17,0,0,4,0,0,1,9,0,5,0,5,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,635.5,0,5,0,0,0,0,1,10,0,1,0,0,0,0,0,0,7,5,10,18,4,0,0,506,85432
76,253.084,7,0,0,3,0,0.5,0,53,0,7,10,0,0,0,0,18.5,0,0,0,0,47,0,2,7,3,1,2,224,5,9,13,0,0,0,0,0,0,0,0,16,3,0,8,1,5,1,0,0,0,4,0,0,4,30,0,0,25,0,0,0,0,7,15,0,0,15,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,63,0,0,667,0,2,0,0,0,0,1,7,0,0,0,0,0,0,0,0,16,10,14,25,11,0,0,400,85432
80,270.494,3,0,0,7,0,0,0,47.5,0,7,21,0,0,0,0,7,0,0,0,0,43,0,3,2,2,7,2,251,4,8,14,0,0,0,0,0,0,1,0,15,0,0,10,1,3,0,0,0,0,4,0,0,0,21,1,0,17,0,0,0,0,8,11,0,0,5,0,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1,0,582.5,0,2,0,0,0,0,3,6,0,0,0,0,0,0,0,0,6,7,8,15,5,0,0,549,85432
84,287.904,2,0,0,1.5,0,0,0,47,0,6,4,0,0,0,0,11,0,0,0,0,37,0,6,4,2,3,1,280,3,3,6,0,0,0,1,0,0,1,0,17,2,0,19,5,6,1,0,0,0,5,0,0,2,20,1,0,16,0,0,0,0,4,5,0,0,7,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,2,0,584.5,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,7,7,10,16,1,0,0,496,85432
88,330.709,6,0,0,2.5,0,1.5,0,38,0,3,9,0,0,0,0,9.5,0,0,0,0,33,0,0,5,0,3,0,298,5,8.5,5,0,0,0,0,0,0,0,0,18,1,0,13,4,5,0,0,0,1,6,0,0,2,16,0,0,9,0,0,0,0,5,4,0,0,8,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,3,571,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,9,8,6,19,6,0,0,665,85432
92,376.217,4,0,0,1,0,1,0,50,0,3,12,0,0,0,0,27,0,0,0,1,46,0,5,4,0,2,1,266,0,3,3,0,0,0,1,0,0,0,0,13,1,0,22,1,5,0,0,0,1,3,0,0,0,15,0,0,12,0,0,0,0,6,1,0,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,553,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,7,3,8,19,1,0,0,491,85432
96,421.725,7,0,0,1,0,0,0,52,0,2,12,0,0,0,0,24.5,0,0,0,0,47,0,3,2,2,5,0,283,3,9,7,0,0,0,0,0,0,3,0,20,1,0,23,3,5,0,0,0,0,2,1,0,0,15,0,0,14,0,0,0,0,4,6,0,0,8,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,1,614.5,0,3,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,6,6,26,5,0,0,583,85432
100,467.232,6,0,0,1.5,0,0,0,37,0,3,8,0,0,0,0,10,0,0,0,0,43,0,9,5,3,3,4,279,2,7,5,0,0,0,0,0,1,0,0,18,0,0,20,6,2,1,0,0,0,4,0,0,0,17,0,0,8,0,0,0,0,10,5,0,0,4,0,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,19,0,0,562.5,0,1,0,1,0,0,1,12,0,0,0,0,0,0,0,0,10,9,8,22,5,0,0,697,85432
104,512.74,4,0,0,7,0,3.5,0,36.5,0,6,15,0,0,0,0,16,0,0,1,0,40,0,2,5,3,3,0,278,8,14,9.5,0,0,0,0,0,0,1,0,17,1,0,21,1,4,0,0,1,1,5,0,0,0,11,0,0,17,0,0,0,0,6,8,0,0,3,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,601.5,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,7,6,9,15,3,0,0,547,85432
108,558.248,3,0,0,4,0,0,0,30,0,1,7,0,0,0,0,15,0,0,0,0,50,0,0,2,1,2,0,290,4,7,12,0,0,1,0,0,0,0,0,12,1,0,26,2,1,0,0,0,0,8,0,0,0,20,0,0,13,0,0,0,0,6,1,0,0,5,0,0,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,582,0,1,0,0,0,0,0,8,0,2,0,0,0,0,0,0,4,1,2,4,0,0,0,461,85432
112,621.992,3,0,0,3,0,0,0,45.5,0,4,7,0,0,0,0,13,0,0,0,0,35,0,3,4,2,2,0,293,6,8,9,0,0,0,0,0,0,0,0,17,4,0,18,1,2,0,0,0,0,6,0,0,0,14,0,0,14,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,0,0,558.5,1,0,0,0,0,0,3,10,0,2,0,0,0,0,0,0,7,5,7,26,5,0,0,467,85432
116,702.101,6,0,0,5.5,0,0,0,25,0,2,13,0,0,0,0,11,0,0,0,0,42,0,0,2,2,1,3,280,3,3,6,0,0,0,1,0,0,2,0,14,2,0,32,0,2,0,0,0,1,6,0,0,0,28,1,0,11,0,0,0,0,3,1,0,0,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,1,0,551.5,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,3,3,3,12,2,0,0,383,85432
120,782.209,6,0,0,1,0,0.5,0,31,0,5,15,0,0,0,0,16,0,0,0,0,50,0,0,7,2,2,1,277,5,6,6,0,0,0,0,0,1,0,0,24,1,0,17,1,4,1,0,0,1,2,0,0,3,25,0,0,8,0,0,0,0,5,3,0,0,1,0,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,1,2,583.5,0,1,0,0,0,0,2,6,0,0,0,0,0,0,0,0,15,6,10,18,5,0,0,444,85432
124,862.318,1,0,0,0,0,0,0,35.5,0,1,5,0,0,0,0,14,0,0,0,0,50,0,6,1,4,4,0,286,5,6,9,0,0,0,0,0,0,0,0,21,1,0,12,3,6,2,0,0,0,2,0,0,0,19,1,0,8,0,0,0,0,6,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,1,0,547.5,0,0,0,0,0,0,1,8,0,1,0,0,0,0,0,0,8,3,10,29,2,0,0,423,85432
128,942.426,3,0,0,5,0,0,0,47,0,4,7,0,0,0,0,21,0,0,0,0,54,0,2,5,4,6,0,339,6,8,4,0,0,0,0,0,0,2,0,14,0,0,18,2,5,0,0,0,0,4,0,0,3,32,1,0,11,0,0,0,0,4,5,0,0,2,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,2,662,0,1,0,1,0,0,1,8,0,0,0,0,0,0,2,0,3,7,4,21,7,0,0,338,85432
132,1017.006,0,0,0,1.5,0,0,0,53.5,0,3,1,0,0,0,0,10,0,0,0,0,51,0,3,2,1,1,2,279,2,2,2,0,0,0,0,0,0,1,0,22,1,0,22,1,0,0,0,0,0,5,0,0,0,21,0,0,13,0,0,0,0,4,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,16,0,0,531,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,7,8,3,14,3,0,0,387,85432
136,1085.507,3,0,0,5,0,0,0,43.5,0,8,9,0,0,0,0,14.5,0,0,1,1,40,0,1,2,4,0,1,292,4,12,6,0,0,1,0,0,0,0,0,24,0,0,12,3,4,1,0,0,0,2,0,0,0,19,0,0,9,0,0,0,0,6,7,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,573,0,0,0,0,0,0,2,7,0,1,0,0,0,0,0,0,6,5,8,8,6,0,0,395,85432
140,1154.007,5,0,0,2,0,0,0,44,0,7,11,0,0,0,0,9,0,0,0,0,44,0,5,3,0,3,3,290,2,4,5,0,0,0,0,0,0,0,0,18,0,0,22,3,0,0,0,0,1,2,0,0,0,13,0,0,8,0,0,0,0,5,6,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,542,0,1,0,0,0,0,2,6,0,1,0,0,0,0,0,0,2,1,3,21,4,0,0,486,85432
144,1222.508,0,0,0,1.5,0,0,0,57.5,0,4,8,0,0,0,0,22.5,0,0,0,0,39,0,2,1,1,2,0,331,3,11,11,0,0,0,0,0,0,0,0,14,0,0,22,2,5,0,0,0,0,8,0,0,1,34,1,0,6,0,0,0,0,5,6,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,1,4,641.5,0,0,0,0,0,0,2,7,1,0,0,0,0,0,0,0,4,2,4,9,3,0,0,394,85432
152,1359.509,0,0,0,0,0,0,0,42,0,3,3,0,0,0,0,15,0,0,0,0,39,0,4,4,0,1,1,278,5,9,3,0,0,0,0,0,1,0,0,25,0,0,25,0,2,0,0,0,0,3,0,0,0,36,1,0,2,0,0,0,0,7,10,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,8,0,0,549,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,11,7,10,20,2,0,0,411,85432
156,1428.009,0,0,0,1,0,0,0,33.5,0,7,5,0,0,0,0,13,0,0,0,0,47,0,4,4,2,3,1,303,1,4,3,0,0,0,0,0,0,0,0,20,3,0,19,3,3,0,0,0,0,4,0,0,0,23,0,0,3,0,0,0,0,8,15,0,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,2,0,569.5,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,7,4,9,18,5,0,0,421,85432
160,1496.51,0,0,0,1.5,0,0,0,30,0,6,9,0,0,0,0,18,0,0,0,0,50,0,8,2,3,0,2,284,4,4,0,0,0,0,1,0,1,0,0,14,2,0,15,0,4,0,0,0,0,1,0,0,0,28,0,0,10,0,0,0,0,9,11,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,1,0,554.5,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,6,5,33,9,0,0,517,85432
164,1565.01,0,0,0,0.5,0,0,0,39.5,0,2,6,0,0,0,0,9,0,0,0,0,55,0,5,2,3,2,0,300,3,6,0,0,0,0,0,0,0,0,0,16,1,0,32,1,1,0,0,0,0,6,0,0,1,30,0,0,7,0,0,0,0,15,13,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,579,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,8,2,8,30,2,0,0,440,85432
