Depth (cm),Cal age,Cupressaceae,Picea glauca,P. mariana,P. indet.,P. rubens/undiff,Abies,Larix,Pinus undifferentiated,Pinus indeterminable,Pinus haploxylon,Pinus diploxylon,Pinus banksiana t.,P. resinosa t.,P. rigida t.,vesiculate conif ,Tsuga,Taxus,Taxodium t. papilate,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus undiff,Quercus,Ulmus,Acer saccharum,Acer rubrum,A. negundo,Acer spicatum t.,Acer ,Tilia,Magnolia,Juglans nigra,Juglans cinerea,Juglans,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Other trees,Ilex,Alnus rugosa,Alnus crispa,Corylaceae,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Rhus, Ericaceae,Viburnum,Hammamelis,Cornus,Ptelea trifoliata t.,Cephalanthus,Clethra,cf. Ribes,Other shrubs,Poaceae,Secale,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Cannabis/Humulis,Polygonum bist.,Polygonum aviculare  t,Phlox,Xyris,Epilobium,Dalea candida t.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Brassicaceae,Rubus Chamaemorus,Hypericum t.,Liliaceae,Saxifraga oppositifolia t.,Scrophulariaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Lamiaceae,Solanaceae,Other herbs,Dennstaeditia, Pteridium,Botrychium,Dryopteris t.,Polypodium t.,Gymnocarpium.,Lyc. lucidulum,L. obscurum t..,L. selago t.,Lyc. annotinum,Lyc. clavatum,L. inundatum,Lycopodium undifferentiated,Osmunda,Asplenium t.,Woodsia,Sellaginella sp.,Monolete spore,Trilete spore,Other Pterid,Upland sum,Myriophyllum,Sphagnum,Eriocaulon,Typha,Sparganium t.,Pontederia sp.,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Sagittaria,Lemna,cf.Equisetum,Other Aquatics,Degraded,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,PreQuaternary,Cupressaceae stom.,Exotic count,Exotic spike
660,7611.963,1,0,0,0,0,0,0,57,0,5,16,0,0,0,0,13,0,0,0,0,27,0,0,2,1,5,1,377,5,1,3,0,0,1,0,0,0,0,0,1,1,0,31,0,0,0,0,0,1,20,1,0,2,11,0,0,8,0,0,0,0,4,0,0,0,8,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,226,85432
664,7668.115,4,0,0,0,0,0,0,44,0,1,11,0,0,0,0,15,0,0,2,1,23,0,0,4,0,3,0,306,5,0,2,0,0,0,1,0,0,2,0,2,2,0,38,0,2,2,0,0,0,14,0,0,2,9,0,1,3,0,0,0,0,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,1,0,0,163,85432
672,7780.42,1,0,0,1,0,0,0,46,0,9,15,0,0,0,0,15,0,0,0,0,30,0,0,1,3,3,0,301,5,3,2,0,0,0,0,0,0,0,0,3,4,0,42,0,1,1,0,0,0,13,1,0,0,15,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,4,0,0,115,85432
680,7892.726,0,0,0,1,0,0,0,73,0,1,25,0,0,0,0,29,0,0,0,0,26,0,1,3,0,1,1,317,7,2,2,0,0,1,0,0,0,3,0,2,7,0,12,0,0,1,1,0,0,32,0,0,5,12,1,0,2,0,0,0,0,2,0,0,0,10,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6,1,0,0,137,85432
688,8005.031,5,0,0,0,0,0,0,101,0,3,25,0,0,0,0,28,0,0,2,0,39,0,2,9,1,0,0,343,7,3,5,0,0,0,0,0,0,0,0,2,4,1,10,1,1,0,1,0,0,15,5,0,9,27,0,1,1,0,0,0,0,4,0,0,0,19,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,703,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,3,1,0,0,162,85432
696,8117.336,2,0,0,0,0,0,1,78,0,5,18,0,0,0,0,22,0,0,1,0,27,0,4,4,3,0,0,258,2,3,0,0,0,0,0,0,0,1,0,2,2,0,12,1,3,0,0,0,0,28,3,0,12,7,4,0,2,0,0,0,0,4,0,0,0,11,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,547,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,4,1,4,3,5,0,1,0,96,85432
704,8259.72,2,0,1,1,0,1,0,136,0,2,32,0,0,0,0,27,0,0,1,0,31,0,2,4,0,4,1,292,5,4,3,0,1,0,0,0,0,0,0,1,1,0,16,2,3,0,0,0,0,55,6,0,6,16,0,1,0,0,0,0,0,2,0,0,0,13,0,0,0,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,719,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,2,2,4,1,0,0,139,85432
712,8439.186,1,0,0,0,0,0,0,135,0,2,58,0,0,0,0,21,1,0,0,0,21,0,0,1,0,0,0,242,4,2,0,0,0,1,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,23,0,0,10,20,1,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,6,1,2,0,90,85432
720,8618.652,1,0,0,1,0,1,0,137,0,7,19,0,0,0,0,13,0,0,0,1,31,0,0,6,2,3,3,336,6,4,2,0,0,0,0,0,0,0,0,2,5,0,10,0,0,1,0,0,0,33,3,0,13,24,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,722,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,1,7,7,1,0,0,134,85432
724,8708.385,2,0,1,0,0,1,0,134,0,1,0,4,31,0,1,11,0,0,2,0,18,0,0,5,0,8,0,317,4,6,4,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0,23,1,0,12,29,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,658,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,85432
