Depth (cm),Cal age,Pinus indet,Pinus undiff,Pinus banksiana t.,P. resinosa t.,P. rigida t.,Pinus diplox,P. haplox,Tsuga,Picea glauca,P. mariana,P. rubens t.,P. undiff,P. indet.,Abies,Vesciculate conif,Larix,Thuja/Juniperus,Taxus t.,Quercus,Carya,Castanea,Juglans cinera,J. nigra,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,F. penn t.,Fraxinus sp.,Alnus rugosa/incana t.,A. crispa/viridis,Acer rubrum,Acer saccharum/nigrum,Acer negundo t.,Acer sp.,Nyssa,Liquidambar,Tilia,Magnolia sp.,Ilex,Clethra,Salix,Populus,Ericaceae,Vitis,Parthenocissus t.,Myrica,Corylus,Corylaceae,Cephalanthus,Platanus,Celtis,Rhamnus,Viburnum,Sambucus,Rhus sp..,Moraceae/Urtica,Poaceae,Artemisia,Ambrosia,Iva sp.,Rumex,Tubuliflorae,Liguliflorae,Secale,Zea mays,Triticum t.,Urtica,Plantago,Cheno Am,Iva ciliata t.,Potentilla t.,Rosaceae undiff,Thalictrum,Fabaceae,Ranunculus sp.,Geranium sp.,Impatiens,Liliaceae,Polygonum persicaria t.,P. aviculare t.,Apiaceae,Fagopyron,Paronychia t.,Cruciferae,Caryophyllaceae,Galium,Cyperaceae,Onagraceae,Oenotheraceae,Hernaria t. ,cf Hypericum,cf. Viola sagittata,Allium t.,Cornus racemosa t.,Ceanothus,Rubus Chamaemorus,Pteridium t.,Dryopteris t.,Osmunda spp.,Gymnocarpium t.,Asplenium t,Athyrium t.,Botrychium sp.,Trilete unk,Lycopodium lucidulum,"Lycopodium sp.,",Upland sum,Isoetes,Equisetum,Sphagnum,Myriophyllum,Nymphaea,Nuphar,Pontederia ,Potamogeton,Brasenia,Sagittaria,Sparganium t.,Typha,Lemna  t.,Pinus stomta,Larix,Cupress stom t.,Tsuga stomata,Unknown conifer stomata,Non conifer ,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,PreQuaternary,Exotic count,Exotic spike
320,2519.992,9,,,1,,1,4,14,,,,,,,,,,,138,31,10,3,,29,57,7,3,5,3,4,36,1,1,3,,1,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,3,,,,,,1,,,,,,,,,1,,,,,,,,,1,11,,,,,,,,,,1,11,2,,,,,,,,395,,,1,,2,,,,,,,,,,,,,,,1,1,1,,9,,2,136,42716
330,2584.178,12,,1,,,,2,9,,,,,,1,,,2,,124,22,11,3,,25,52,1,7,1,2,2,29,,3,3,,1,,1,,,,,,,,,,,,,,,,1,1,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,1,5,1,,,,,,,,341,,,,,1,,,,,,,,,,,,,,,5,,1,2,11,1,1,117,42716
350,2705.989,14,1,,2,,1,4,10,,1,,,,,,,1,,112,32,7,1,,22,34,1,7,2,1,,21,,1,6,,1,,2,,,,1,,,3,,,,1,,,2,,,,,,,3,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,13,,,,,,,,,,1,10,4,,,,,,,,324,,,1,,,1,1,,1,,,,,,,,,,1,12,2,3,,15,,,82,42716
360,2768.579,13,,,,3,,6,9,,,,,,,,,2,,115,27,7,3,,21,35,3,4,3,2,1,18,,1,4,2,3,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,13,,,,,,,,,,4,12,3,,,,,2,,,322,,,,,,,1,,,1,,,,,,,,,,6,,1,,10,4,,67,42716
370,2831.682,9,,1,,1,1,3,11,,,,,,,,1,2,,145,29,7,2,,37,43,5,4,5,2,,30,,1,2,,2,,,1,,,,1,1,,,,1,1,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,1,7,2,,,,,,,,377,,,1,,2,1,,1,,,1,,,,,,,,,5,3,3,,6,,,76,42716
380,2894.357,11,,,,,,1,4,,,,,,,,,,,120,30,6,2,,42,45,10,5,3,3,,32,,1,6,,,,,1,,,1,,,1,,,,,,,2,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,1,,,,,,3,6,2,,,,,1,,,350,,,,,,,,,,,,,,,,1,,,,4,2,4,2,9,1,,65,42716
400,3019.986,7,,1,,,1,9,10,,,,,,,,,4,,109,27,9,,,50,46,3,9,1,2,,23,,,3,,,,,,,,,,,1,,,,2,,,2,,,,,,,3,,,,,3,,,,,,,,,,3,1,,,,,,,,,,,,,,11,,,,,,,,,,1,9,3,,,,,,,,353,,,1,,,,,1,,,,,,,,,,,,2,2,1,,8,1,,99,42716
420,3143.394,16,,,,,,4,14,1,,,,,,1,,1,,164,49,8,3,,20,54,8,1,3,9,,39,,2,9,1,,,,1,,2,,,,1,1,,2,,,,1,,,,,,,2,1,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,12,,,,,,,,,,1,13,1,,,,,,,,448,,,,,,,,,1,,2,,,,,,,,,7,2,6,,21,3,,97,42716
430,3207.05,8,,1,,1,2,3,7,,,,,,,,,,,165,25,9,3,,26,35,6,7,4,,,27,1,2,3,1,1,,,1,,,,,,1,,,,,,,2,,1,,,,,2,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,9,,,,,,,,,,6,13,,,1,,,,,,376,,,,,1,,,1,,,1,1,,,,,,2,,1,2,,2,12,3,,66,42716
450,3333.522,11,,,1,,,4,14,1,1,,1,,1,,,1,,97,29,16,2,,30,30,2,6,,1,5,41,,,7,,,,,,,1,,1,,6,,,,1,,1,,,,,,,,1,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,15,,,,,,,,,,2,11,2,,,,,1,,,347,,,,,,1,,,,,,,,,,,,,2,2,4,5,1,19,2,,126,42716
470,3460.389,15,,1,,,7,4,24,,1,,,,1,2,,3,,79,33,15,5,,56,62,5,1,3,3,,17,,5,4,1,1,,,,1,,,1,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,11,,,,,,,,,,,5,2,,,,,,,,372,,,,,,,,,,,,,,,,,,1,,1,1,2,,5,1,,75,42716
480,3525.974,23,,,2,,1,9,3,,1,,,,,,,3,,140,36,1,7,,63,44,5,6,2,1,4,40,,1,3,,2,,1,1,,,,1,,,,,,1,,,1,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,2,17,3,,,,,,,,439,,,,,1,1,,,1,,,1,,,,,,,1,4,2,4,3,24,,,90,42716
