Depth (cm),Cal age,Cupressaceae,Picea glauca,P. mariana,Picea,Abies,Larix,Pinus undiff,Pinus haploxylon,Pinus diploxylon,P. rigida t.,Pinus banksiana t.,P. resinosa t.,Vesciculate conif,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Ostrya-Carpinus,Fraxinus nigra,Fraxinus americana,Fraxinus undiff.,Quercus,Ulmus,Acer saccharum/nigrum,Acer rubrum,Acer spicatum t.,Acer undifferentiated,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Fagaceae,Betuloid,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus undiff.,Corylus,Myrica,Comptonia,Myrica-Comptonia,Rhamnus,Vitis,Rhamnus-Vitis,Ericaceae,Shepherdia canadensis,Rhus,Viburnum,Hammamelis,Cornus,Cephalanthus,Amelanchier,Potentilla t.,Sambucus,Parthenocissus,Clethra,Poaceae,Cereal,Zea,Artemisia,Ambrosia,Iva,Urtica spp.,Xanthium t.,Tubuliflorae,Liguliflorae,Chenopodiaceae,Sarcobatus,Polygonum bistoides,Polygonum persicaria t.,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulis/Cannabis,Xyris,Stellaria,Caryophyllaceae,Brassicaceae,Ranunculaceae,Menyanthes,Liliaceae,Malvaceae,Lamiaceae,Apiaceae,Hypericum t.,Galium,Fabaceae,Thalictrum,Epilobium,Iva ciliata,Denstaedtia,Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,L. selago t.,Lycopodium undiff.,Sellaginella sp.,Osmunda,Asplenium t.,Gymnocarpium t.,Woodsia,Monolete spore,Trilete spore,Polypodium,Dryopteris t.,Dryopteris thelypteris,upland sum,Equisetum,Myriophyllum,Sphagnum,Typha/Sparganiumt.,Utricularia,Nymphoides,Nuphar,Nymphaea,Sagittaria,Eriocaulon,Pontedaria,Lemna,Isoetes,Potamogeton,Brassenia,Indetermined crumpled,Indetermined broken,Indetermined coroded,Degraded,Indetermined obscured,Unknown,Exotic count,Exotic spike
80,456.056,0,0,0,3,0,2,57,6,6,0,0,0,0,48,0,0,0,65,0,6,3,1,2,255,5,4,2,0,2,0,0,1,15,1,0,23,0,0,3,1,0,0,0,11,0,0,1,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,553,0,0,0,1,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,6,0,428,85432
84,505.921,0,0,0,2.5,0,1,57,7,8,0,0,0,0,32,0,1,0,60,0,1,1,4,0,293,3,3,1,0,0,2,0,0,11,0,0,15,0,0,1,1,0,0,2,16,0,0,6,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,4,1,0,0,0,557.5,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,2,1,0,0,3,0,335,85432
88,555.787,1,0,0,5.5,0,0,45,7,11,0,0,0,0,47,0,0,1,49,0,3,4,1,2,259,7,5,6,0,0,0,0,1,11,0,0,22,0,0,0,0,0,0,1,21,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,559.5,0,0,3,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,281,85432
92,605.652,2,0,0,8.5,0,4,66,9,4,0,0,0,0,30,0,0,1,57,0,3,1,1,1,301,3,4,4,0,0,0,0,0,26,1,0,20,0,0,0,2,0,0,2,12,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,3,1,0,0,4,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,607.5,0,0,4,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0,0,0,1,284,85432
96,655.518,1,0,0,3,0,1,47.5,0,9,0,0,0,0,37,0,0,1,69,0,2,5,8,1,278,4,2,1,0,0,0,0,0,10,4,0,20,0,0,2,0,0,0,0,17,0,0,8,0,0,6,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,571.5,0,0,2,0,0,0,1,2,0,0,0,0,1,0,6,2,0,0,0,0,2,316,85432
100,705.383,2,0,0,7.5,0,1,52,7,3,0,0,0,0,31,0,0,0,47,0,1,0,2,1,254,6,4,3,0,0,0,0,0,14,4,0,22,0,0,4,2,2,0,0,6,0,0,1,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,502.5,0,0,5,1,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,203,85432
104,744.02,1,0,0,3,0,1,45,7,5,0,0,0,0,41,0,1,1,67,0,5,6,1,0,263,5,4,2,0,0,0,2,0,12,0,0,23,0,0,0,1,1,0,1,14,0,0,3,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,541,0,0,2,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,2,267,85432
108,776.881,1,0,0,2.5,0,2,58.5,16,5,0,0,0,0,60,0,0,0,73,0,5,0,3,0,183,4,5,2,0,0,0,0,1,16,0,0,32,0,0,3,3,0,0,2,15,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,538,0,0,3,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,374,85432
112,809.742,0,0,0,2.5,0,1,41,4,2,0,0,0,0,39,0,1,0,49,0,2,1,2,0,264,11,0,2,0,0,0,0,1,15,1,0,27,0,0,2,3,1,0,2,17,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,518.5,0,0,5,1,0,0,1,2,0,0,0,0,0,0,6,0,0,0,0,1,0,375,85432
116,842.604,0,0,0,3,0,0,57.5,10,0,0,0,0,0,51,0,0,1,50,0,4,2,4,0,248,8,6,3,0,0,0,0,2,13,0,0,27,0,0,1,0,1,0,0,21,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,528.5,0,0,1,0,0,0,2,1,0,0,0,0,0,1,3,3,0,0,0,0,0,283,85432
