Depth (cm),Cal age,Cupressaceae,Picea glauca,P. mariana,Picea,Abies,Larix,Pinus undiff,Pinus haploxylon,Pinus diploxylon,P. rigida t.,Pinus banksiana t.,P. resinosa t.,Vesciculate conif,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Ostrya-Carpinus,Fraxinus nigra,Fraxinus americana,Fraxinus undiff.,Quercus,Ulmus,Acer saccharum/nigrum,Acer rubrum,Acer spicatum t.,Acer undifferentiated,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Fagaceae,Betuloid,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus undiff.,Corylus,Myrica,Comptonia,Myrica-Comptonia,Rhamnus,Vitis,Rhamnus-Vitis,Ericaceae,Shepherdia canadensis,Rhus,Viburnum,Hammamelis,Cornus,Cephalanthus,Amelanchier,Potentilla t.,Sambucus,Parthenocissus,Clethra,Poaceae,Cereal,Zea,Artemisia,Ambrosia,Iva,Urtica spp.,Xanthium t.,Tubuliflorae,Liguliflorae,Chenopodiaceae,Sarcobatus,Polygonum bistoides,Polygonum persicaria t.,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulis/Cannabis,Xyris,Stellaria,Caryophyllaceae,Brassicaceae,Ranunculaceae,Menyanthes,Liliaceae,Malvaceae,Lamiaceae,Apiaceae,Hypericum t.,Galium,Fabaceae,Thalictrum,Epilobium,Iva ciliata,Denstaedtia,Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,L. selago t.,Lycopodium undiff.,Sellaginella sp.,Osmunda,Asplenium t.,Gymnocarpium t.,Woodsia,Monolete spore,Trilete spore,Polypodium,Dryopteris t.,Dryopteris thelypteris,upland sum,Equisetum,Myriophyllum,Sphagnum,Typha/Sparganiumt.,Utricularia,Nymphoides,Nuphar,Nymphaea,Sagittaria,Eriocaulon,Pontedaria,Lemna,Isoetes,Potamogeton,Brassenia,Indetermined crumpled,Indetermined broken,Indetermined coroded,Degraded,Indetermined obscured,Unknown,Exotic count,Exotic spike
286,2753.213,0,0,0,1,0,0,33.5,22,10,0,0,0,0,38,0,0,1,43,0,6,4,3,0,290,2,3,4,0,0,0,0,0,15,3,0,30,1,4,1,0,0,0,0,19,0,0,1,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,559.5,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,1,1,0,1,0,146,85432
290,2796.779,0,0,0,0,0,0,37,21,7,0,0,0,0,32,0,0,2,40,0,2,0,4,3,260,3,4,2,0,0,1,0,1,11,2,0,26,0,0,0,1,0,0,1,14,0,0,2,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,505,0,0,5,0,0,0,1,3,0,0,0,0,0,0,1,3,3,1,0,2,0,370,85432
294,2840.346,0,0,0,1,0,0,43.5,15,9,0,0,0,0,36,0,0,1,52,0,5,3,1,0,256,2,8,2,0,0,0,2,2,8,4,0,42,0,0,0,2,0,0,0,12,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,539.5,0,0,6,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,213,85432
298,2883.912,0,0,0,1,0,0,35.5,14,6,0,0,0,0,19,0,2,1,45,0,5,1,1,0,279,2,5,4,0,0,0,0,1,16,3,0,17,0,0,0,2,0,0,0,19,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,509.5,0,0,8,0,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,234,85432
302,2927.478,0,0,0,0,0,1,36.5,16,9,0,0,0,0,24,0,0,0,49,0,5,2,5,0,277,6,7,3,0,0,2,1,0,13,0,0,20,0,2,1,2,0,0,0,18,0,0,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,522.5,0,0,10,0,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0,0,0,124,85432
306,2971.044,1,0,0,2,2,2,45.5,23,16,0,0,0,0,51,0,0,0,41,0,7,3,3,1,254,0,6,2,0,0,1,0,0,9,0,0,36,0,0,0,0,0,0,0,20,0,0,7,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,552.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,197,85432
310,3014.611,0,0,0,1,0,2,34,32,8,0,0,0,0,33,0,0,0,65,0,7,4,2,1,274,6,7,1,0,0,2,0,0,15,3,0,25,0,0,0,0,0,0,1,15,0,0,4,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,561,0,0,5,0,0,0,0,5,0,0,0,0,0,0,2,3,0,0,0,0,0,218,85432
314,3058.177,0,0,0,1.5,0,1,35.5,29,18,0,0,0,0,35,0,0,0,45,0,2,3,5,0,297,7,10,3,0,0,1,0,0,12,1,0,30,0,3,1,3,0,0,1,14,0,0,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,579,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,238,85432
318,3101.743,0,0,0,1,0,1,17.5,23,2,0,0,0,0,32,0,0,0,47,0,4,0,2,1,292,5,6,6,0,0,1,0,0,13,1,0,22,0,3,0,3,0,0,1,21,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,526.5,0,0,6,0,0,0,0,4,0,0,0,0,0,0,1,1,0,1,0,1,0,237,85432
322,3145.309,2,0,0,0,0,0,29.5,23,15,0,0,0,0,32,0,3,0,41,0,0,4,7,1,279,6,2,2,0,0,1,1,2,10,3,0,26,0,2,0,1,0,0,0,24,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,543.5,0,0,8,0,0,0,0,1,0,0,0,0,0,0,15,2,0,2,0,2,0,193,85432
326,3188.876,0,0,0,1,0,0,23,22,7,0,0,0,0,29,0,1,1,56,0,5,2,5,0,320,5,7,4,0,0,1,1,0,6,0,0,34,0,1,0,0,0,0,1,13,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,575,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,210,85432
330,3232.442,0,0,0,0,0,0,18.5,38,15,0,0,0,0,25,0,1,1,50,0,3,4,1,0,293,11,12,5,0,0,1,1,1,15,6,0,42,0,1,0,4,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,578.5,0,0,2,0,0,0,0,3,0,0,0,0,0,1,2,1,0,0,0,6,0,150,85432
334,3276.008,4,0,0,0,0,1,22.5,31,21,0,0,0,0,20,0,0,1,58,0,6,5,1,0,302,5,11,1,0,0,0,0,1,12,0,0,23,0,1,1,0,0,0,1,18,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,566.5,0,0,4,0,0,0,0,4,0,0,0,0,0,0,1,2,0,1,0,8,1,168,85432
338,3319.574,0,0,0,1,0,1,59,59,8,0,0,0,0,21,0,0,0,42,0,2,2,2,0,283,6,2,5,0,0,2,0,1,12,1,0,35,0,0,0,5,0,0,0,17,0,0,5,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,594,0,0,4,1,0,0,1,6,0,0,0,0,0,0,2,0,0,0,0,0,1,164,85432
342,3363.141,0,0,0,1,0,0,47.5,35,15,0,0,0,0,16,0,0,0,40,0,2,2,2,0,282,1,5,2,0,0,0,0,1,10,0,0,34,0,0,0,0,0,0,0,15,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,538.5,0,0,4,0,0,0,1,2,0,0,0,0,1,0,3,2,5,0,0,1,0,191,85432
346,3406.707,3,0,0,1,0,0,53,46,8,0,0,0,0,19,0,1,0,43,0,7,3,3,0,275,8,8,5,0,0,0,0,0,4,2,0,40,0,0,0,1,1,0,3,17,0,0,1,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,589,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,203,85432
350,3450.273,1,0,0,0,0,0,46.5,31,9,0,0,0,0,27,0,0,0,35,0,6,2,2,1,274,4,6,1,0,0,0,0,2,10,0,0,26,0,1,1,1,0,0,0,19,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,535.5,0,0,5,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,207,85432
354,3493.839,2,0,0,0,0,2,16,38,9,0,0,0,0,14,0,0,1,51,0,3,0,2,2,277,8,10,9,0,0,3,0,0,11,3,0,31,0,3,1,0,0,0,1,20,0,0,2,0,0,4,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,558,0,0,13,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,238,85432
358,3537.406,1,0,0,0,0,0,37,37,9,0,0,0,0,20,0,0,2,50,0,4,0,5,0,276,7,3,5,0,0,0,0,0,8,2,0,26,0,0,0,1,0,0,0,16,0,0,3,0,0,2,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,535,0,0,7,1,0,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,234,85432
362,3580.972,1,0,0,1,0,2,26,21,2,0,0,0,0,12,0,4,1,46,0,6,4,2,1,309,7,11,3,0,0,0,0,0,11,3,0,24,0,2,0,0,0,1,0,9,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,10,0,0,0,0,547,0,0,10,0,0,0,1,3,0,0,0,0,0,0,0,3,1,0,0,0,1,219,85432
366,3624.538,2,0,0,0,0,0,36.5,8,2,0,0,0,0,13,0,1,0,55,0,3,0,0,0,299,5,8,2,0,0,0,0,0,8,4,0,28,0,1,1,1,0,0,1,21,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,535.5,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,245,85432
370,3668.104,1,0,0,1,0,1,20.5,12,3,0,0,0,0,18,0,0,0,41,0,3,2,0,0,354,1,6,7,0,0,0,0,1,4,2,0,22,0,1,2,1,0,0,1,23,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,560.5,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,239,85432
374,3711.671,1,0,0,0,0,1,16,9,3,0,0,0,0,18,0,0,0,42,0,6,4,1,1,347,7,14,1,0,0,0,0,1,17,1,0,23,0,0,0,3,0,0,2,12,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,558,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,230,85432
378,3755.237,1,0,0,0,0,2,36,13,5,0,0,0,0,16,0,1,0,58,0,4,6,4,0,350,5,2,5,0,0,1,0,0,9,2,0,35,0,0,0,2,0,0,0,16,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,6,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,1,0,3,0,0,0,14,0,0,0,0,623,0,0,1,1,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,289,85432
390,3893.773,2,0,0,0,0,1,28,7,1,0,1,0,0,13,0,1,1,44,0,6,1,5,1,308,11,10,2,0,0,0,0,1,12,1,0,33,0,0,0,0,0,0,0,2,0,0,4,2,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,7,0,536,0,0,3,1,0,0,2,1,0,0,0,0,0,1,0,1,5,0,2,16,1,102,53395
410,4128.268,2,0,0,1,0,0,34,7,6,0,0,1,0,17,1,2,0,36,0,5,0,7,0,295,3,4,3,0,0,0,0,1,12,3,0,34,0,1,1,1,1,0,0,16,4,0,2,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,21,0,547,0,0,5,3,0,2,0,3,0,0,0,0,0,0,0,1,1,0,0,4,3,99,53395
430,4362.764,3,0,0,1,0,0,49,13,5,0,0,1,0,9,1,0,0,51,0,7,4,7,3,283,5,6,0,0,1,0,0,0,21,1,0,41,0,0,0,0,0,0,1,27,0,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,24,0,601,0,0,6,0,0,0,1,8,0,0,0,0,0,0,1,0,3,0,3,16,4,137,53395
450,4597.259,4,0,0,3,0,0,32,7,6,0,7,0,0,9,0,1,0,62,0,4,6,1,0,339,6,3,1,1,0,0,0,0,23,0,0,23,0,1,0,2,0,0,2,17,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,15,0,600,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,5,1,97,53395
460,4714.506,1,0,0,0,0,2,36,9,0,0,6,1,0,18,0,1,0,61,0,6,4,3,3,356,7,11,9,0,1,0,0,1,18,2,0,24,0,1,0,1,1,0,0,9,1,0,1,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,0,632,0,0,3,0,0,0,2,3,0,0,0,0,0,0,1,0,1,0,1,6,1,135,53395
470,4831.754,5,0,2,0,0,0,28,5,0,0,0,0,0,14,0,1,0,61,0,5,11,7,0,280,13,6,4,0,3,0,0,1,16,3,0,49,0,0,0,0,0,0,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,4,565,0,0,1,0,0,0,2,6,0,0,0,0,0,0,3,0,0,0,3,9,0,115,53395
480,4949.001,5,0,2,1,0,0,19,15,0,0,1,1,0,12,2,0,0,46,0,6,0,2,1,302,5,4,12,0,3,0,0,1,14,3,0,43,0,0,0,1,0,0,0,11,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,547,0,0,1,0,0,0,0,7,0,0,0,0,0,0,5,1,2,1,1,4,0,138,53395
490,5066.249,2,0,1,0,0,0,25,7,7,0,2,2,0,29,0,1,0,45,0,0,1,10,0,292,15,5,8,0,0,0,0,2,11,7,0,45,0,1,1,1,0,0,0,13,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,561,0,0,2,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0,101,53395
500,5183.497,2,0,0,0,0,0,16,4,0,0,0,1,0,31,0,1,1,48,0,8,12,6,1,318,7,10,8,0,0,1,0,1,3,5,0,32,0,0,0,2,0,0,0,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,552,0,0,1,0,0,0,0,7,1,1,0,0,0,0,4,0,2,0,0,6,1,118,53395
505,5242.12,6,1,2,0,0,1,23,1,0,0,5,2,0,40,0,1,0,42,0,4,0,5,0,276,15,8,7,0,1,0,0,0,12,14,0,25,0,0,0,0,0,0,1,18,0,0,0,5,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,546,0,0,2,0,0,0,3,3,0,2,1,0,0,0,2,0,1,0,3,8,0,132,53395
510,5300.744,3,0,2,0,0,0,21,5,0,0,1,0,0,87,0,1,0,56,0,5,0,10,0,284,3,0,0,1,3,1,0,1,12,2,0,29,0,1,1,1,0,0,1,24,1,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,3,0,601,0,0,1,0,0,0,2,9,2,0,0,0,0,0,6,0,0,0,1,7,2,115,53395
520,5404.718,0,0,0,1,0,0,31,7,0,0,0,0,0,64,0,0,0,56,0,3,3,5,0,352,10,4,5,0,1,1,0,0,17,10,0,28,0,0,0,2,0,0,0,21,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,656,0,0,2,0,0,0,1,6,0,0,3,0,0,0,2,0,0,0,1,6,2,132,53395
530,5508.382,2,0,0,0,0,0,29,3,6,0,0,0,0,43,0,1,0,22,0,6,4,8,0,310,4,8,0,0,0,0,0,2,10,8,0,46,0,0,1,0,0,0,1,7,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,8,0,569,0,0,7,2,0,0,0,5,0,0,0,0,0,0,1,0,2,0,1,3,2,95,53395
550,5715.709,2,0,0,0,0,0,12,4,1,0,0,0,0,47,0,2,1,30,0,2,1,6,0,325,7,4,6,0,0,0,0,0,8,4,0,36,0,1,0,3,0,0,0,18,0,0,1,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,4,0,555,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,0,1,5,0,115,53395
560,5819.373,0,0,1,0,0,0,15,4,0,0,0,2,0,55,0,1,0,33,0,3,2,6,0,299,8,5,5,0,1,0,0,0,4,9,0,38,0,0,0,4,0,0,0,14,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,547,1,0,0,0,0,0,3,4,0,1,0,0,0,0,1,0,0,0,1,8,2,110,53395
565,5871.205,1,0,0,0,0,0,5,4,3,0,2,0,0,45,0,3,0,17,0,3,1,8,0,354,4,5,2,0,1,0,0,0,4,9,0,38,0,0,1,0,0,0,0,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,546,0,0,1,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,108,53395
570,5923.037,1,0,0,0,0,0,25,4,1,0,1,3,0,31,0,0,1,36,0,4,4,2,0,277,4,4,10,0,0,1,0,0,14,9,0,46,0,0,0,1,0,0,0,29,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,543,0,0,0,0,0,0,1,5,1,0,1,0,0,0,1,1,2,1,1,5,2,96,53395
575,5974.869,2,0,0,0,0,0,18,6,0,0,0,1,0,56,0,0,0,28,0,1,0,1,0,306,9,12,3,0,2,1,0,1,2,3,0,27,0,1,0,0,0,0,0,21,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,544,0,0,1,0,0,0,0,9,1,0,1,0,1,0,0,1,0,0,1,4,0,96,53395
