Depth (cm),Cal age,Cupressaceae,Picea,Abies,Larix,Pinus Undiff.,Pinus Haplox ,Pinus Diplox,Tsuga,Taxus,Populus,Salix,Betula,Betula-small,Betulacee,Ostrya/carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica/Comptonia,Rhamnus/Vitis,Ericaceae,Viburnum,Hamamelis,Cornus,Cephalanthus,Clethra,Poaceae,Zea,Artemisia,Ambrosia,Urtica,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Roseaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Sarracenia,Lythrum,Brassicaceae,Dennstaeditia,Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. Clavatum,Lycopodium,Osmunda,Woodsia,Monolete spore,Trilete spore,Upland sum,Equisetum,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Pediastrum,Indet.Crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,Exotic count,Exotic spike
195,517.388,,11,,,9,13,1,26,,,,25,,,7,,,,145,2,1,2,,,1,,25,,,17,,,,,,,,2,,2,,2,,,,,,5,,,1,,,,1,,,,,,,,,,,,,,,,,,,,5,,,,,,2,,10,,315,,,,,1,2,,,,,1,,,5,1,122,83393
200,569.109,,5,,,21,4,1,22,,,,35,,,,,,,180,2,4,2,,,,,34,1,,14,2,1,,,,,,5,,8,,2,,,,,,7,,,4,,1,,,,,,,,9,,,,,,,,2,,,,,,1,,,,,,2,,11,,380,,,,,3,2,,,2,1,1,,,,2,337,83393
225,827.716,4,,,,12.5,2,1,20,,,,26,,,,,1,,177,5,3,4,,1,2,,31,2,,17,,,,,,,,8,,10,,1,,,,,,4,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,6,,342.5,,,1,,2,3,,,2,1,2,,,2,,217,83393
275,1364.495,,2.5,,,9,6,,27,,1,,35,,,1,,2,,181,8,2,3,,,,,38,3,,18,,,,,,,,4,,9,,1,,,,,,2,,1,,,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1,,,,360.5,,,1,,,,,,2,,3,,,1,3,143,83393
295,1587.134,1,,,,16,9,1,20,,,,36,,,,,1,,223,4,3,1,,,,,40,1,,24,,,,,,,,6,,19,,1,,,,,,1,,,1,,3,,,,,,,,10,,,,,,,,,,,,,,2,,,,,,2,,4,,429,,,2,1,4,3,,,,2,2,,,2,3,221,83393
320,1865.432,,1,,,30,8,,23,,,,23,,,2,,1,,204,2,2,1,,,,,34,1,,20,,,1,,,,,5,1,8,,,,,,,,3,,,1,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,2,,381,,,3,,1,,,,,,,,,4,,192,83393
340,2088.071,,1,,,27,7,,19,,,,30,,,2,,1,,180,3,6,2,,,,,27,,,22,,,,,,,,3,,7,,1,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,,,,,,2,,4,,353,,,2,,,,,,1,,1,,,4,,195,83393
360,2310.71,2,3,,,36.5,2,1,20,,,,30,,,5,1,2,,201,4,1,1,,1,,,16,,,16,1,,,,,,,13,,9,1,,,,,,,2,,1,,,1,,,,,,,,9,,,,,,,,,,,,,,2,,,,,,,,9,1,391.5,,,4,,,4,,,,2,1,,,2,5,231,83393
380,2569.174,1,0.5,,,28,6,1,22,,,,37,,,,1,4,,184,7,1,1,1,,,,32,1,,21,,1,,,,,,10,,17,,,,,,,,3,,,,,2,,,,,,,,5,,,,,,,,,,,,,,3,,1,,,,4,,14,,408.5,,,5,8,,2,,,,4,4,1,,2,2,230,83393
420,3162.523,,1.5,,,18.5,3,,23,,,,40,,,2,,2,,193,2,5,1,,1,,1,32,,,26,,,,,,,,9,,7,,3,,,,,,7,,,2,,,,,,,,,,7,,,,,,,,,,,,,,2,,,,,,,,6,1,395,,,2,4,,1,,,,,2,1,,3,1,237,83393
440,3459.197,6,,,,22,7,,25,,,,39,,,7,,,,155,11,5,4,,,,,26,,,25,,,,,,,,12,1,,,,,,,,,2,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,9,,362,,,,,,2,,,,1,2,,,3,1,178,83393
460,3755.871,,,,,19.5,3,,11,,,,50,,,4,1,2,,217,8,4,4,,,,,21,,,36,,,,,,,,2,,1,,3,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,10,,402.5,,,2,1,,2,,,,3,4,,,3,1,178,83393
480,4045.571,,0.5,,,11,3,1,5,,,1,37,,,,2,,1,241,2,6,6,,,,,24,,,14,,,,,,,,5,,2,,1,,,,,,3,,1,2,,1,,1,,,,,,4,,,,,,,,1,,,,,,1,,,1,,,,,5,,382.5,,,1,1,1,2,,,,2,1,,,1,2,162,83393
500,4328.462,1,,,,34.5,1,,11,,1,1,34,,,1,3,1,,207,1,1,2,,1,,,26,,,18,1,,1,,,,,6,,2,,,,,,,,4,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,11,,374.5,,,1,1,2,1,,,2,1,4,,,2,1,139,83393
525,4682.075,1,,,,27,7,,6,,,,32,,,1,1,,,225,4,3,,,,,,17,1,,17,,,,,,,,4,,3,,1,,,,,,2,,,2,,1,,,,,,,,5,,,,,,,,,,,,,,,,,,,,4,,10,,374,,,4,,,4,,,2,1,,,,9,4,121,83393
550,5035.689,3,,,,14.5,1,,5,,,,40,,,2,1,,,229,7,1,3,1,1,,,7,,,24,,,,,,,,12,,1,,,,,,,,5,,,4,,2,,,,,,,,11,,,,,,,,2,,,,,,4,,,,,,3,,4,,387.5,,,4,,,3,,1,1,,,,,13,,149,83393
575,5389.303,,4,,,10.5,2,,21,,1,,34,,,3,1,,,207,9,2,,,,,,8,1,,19,1,1,,,,,,2,,2,,,,,,,,4,,,1,,1,1,,,,,,,5,,,,,,,,,,,,,,4,,,,,,1,,16,,361.5,,,,,,3,,,,,3,,,,3,84,83393
600,5841.757,,,,,18,2,,25,,1,1,29,,,2,5,3,1,246,4,7,2,,,,,5,,,23,,2,,,,,,8,,3,,,,,,,,3,,,1,,2,,,,,,,,6,,,,,,,,,,,,,,2,,,,,,5,,12,1,419,,,1,3,,2,,,1,,3,,,2,,125,83393
625,6321.607,1,2,,,6.5,3,,24,,,,23,,,1,9,1,,202,5,5,,1,,,,2,1,,31,,1,,,,,,6,,3,,,,,,,,4,,,1,,1,,,,,,,,3,,,,,,,,,,,,,,3,,,,,,2,,7,1,349.5,,,,1,,2,,,1,4,5,,,2,3,97,83393
650,6777.524,,1,,,7.5,5,,39,,,,15,,,4,2,1,,206,6,1,2,,,,,1,1,,28,1,1,,,,,,13,,4,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,4,,348.5,,,1,,1,1,,,3,1,6,1,,3,1,71,83393
