Depth (cm),Cal age,Pinus indeterminable,Pinus undiff,Pinus banksiana t.,P. rigida t.,Pinus diplox,P. haplox,Tsuga,Picea glauca,P. mariana,P. undiff,P. indet.,Abies,Vesciculate conif,Thuja/Juniperus,Larix,Quercus,Carya,Castanea,Juglans cinera,J. nigra t.,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,F. penn t.,Fraxinus sp.,Alnus viridis t.,A. incana,Acer rubrum,Acer saccharum/nigrum,Acer negundo t.,Acer sp.,Nyssa,Liquidambar,Celtis,Clethra,Moraceae,Tilia,Salix,Populus,Ledum/Chamydaphnea, Ericaceae undiff,VItis,Parthenocissus t.,Myrica,Corylus,Corylaceae,Ilex,Platanus,Cephalanathus,Viburnum,Rhamnus,Rhus,Poaceae,Artemisia,Ambrosia,Rumex,Tubuliflorae,Liguliflorae,Plantago,Secale,Zea,Cheno Am,Solanaceae,Urticaceae,Iva ciliata t.,Rosaceae ,Thalictrum,Fabaceae,Brassicaceae,Ranunculaceae,Hydrocotyle t.,Apiaceae,Hypericum t.,Polygonum lapthifoliu t.,Lamiaceae,Cyperaceae,Xyris,Myrtaceae t.,Lonicera,Sisyrinchium,cf Rhexia,Xanthium t.,Acacia/Mimosa t.,Cornus sanquinaria t.,Pteridium t.,Dryopteris t.,Osmunda ,Trilete unk,"Lycopodium sp.,",Lycopodium inundatum T.,Upland sum,Isoetes,Eriocaulon sp.,Equisetum,Sphagnum,Typha,Myriophyllum,Nuphar,Nymphaea,Brasenia,Potamogeton,Sagittaria,Sparganium t.,Cupressaceae stomata,Non conifer stomata,Pinus stomata,PreQuaternary,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,Exotic count,Exotic spike
170,5270.438,22,,,,,1,7,,1,,,,,1,,236,5,1,1,,37,30,4,4,,4,,5,,1,2,,1,4,,,,,,,3,,,,,16,2,,,,1,,,,13,1,2,,5,,1,,,,,,,,,,,2,,,,,,9,,,,,,,,,,,,,,4,426,1474,,,,,5,,,,,1,,,,,,8,,6,,11,2,44,42716
175,5570.97,23,,,3,,,11,,,,,,,1,,185,1,,1,,20,10,2,3,11,,,1,,,1,,1,,,,,,,,8,,,,,23,,3,,,,,,,11,,,,7,,,,,,,,,,,,,,,,,,,7,,,,,,,,,3,,3,,,1,340,300,,,,,1,,,,,,,,,,,23,,5,3,10,3,34,42716
180,5871.503,34,,,,2,,8,,,1,,,,,,187,5,,,,20,21,2,,3,,,3,,1,4,,1,,,,,,,,5,,3,,,13,,1,,,,,,,8,,,,10,,,,,,,,,,,,,,,,,,,14,,,,,,,,,3,1,1,,4,,355,107,1,,1,,6,,,,,,,,,,,15,1,1,2,8,2,29,42716
185,6172.035,21,,1,,,,12,,,,,,,1,,178,,2,,,10,15,2,7,,1,,0,0,0,,,2,,,,,1,,,6,,,1,,7,5,2,,5,,,,1,7,,3,2,3,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,299,55,,,,,9,1,,,,,,,,,,14,,4,2,7,4,24,42716
190,6466.005,33,,1,,,,7,,,,,,1,5,,152,3,1,,,14,12,2,3,,,,4,2,1,1,,,2,1,,,,,,8,,,,,17,,,,1,,,,,11,,1,2,5,,,,,,,,,,,,,,,,,,,10,1,,,,1,,,,,1,1,,,1,305,94,,,,,10,,,,,,1,,,,,6,1,3,2,13,3,39,42716
195,6763.274,46,,1,,1,1,17,,,,,,,4,,175,4,1,,2,15,12,2,4,,,,6,1,,1,,1,,,,,1,,,2,,,,,6,1,2,,1,,,,,9,,,,5,,,,,,,,,,,,,2,,,,,,2,,,,,,,1,,,,,,,,326,97,,,,,,,,,,,,,,,,,,,,,,30,42716
200,7062.175,86,,,7,4,,13,,,,,,1,,,165,3,,,,12,14,1,6,,2,,1,2,,4,,,,2,,,,,,0,,,,,8,1,,,1,,,,,6,,1,,12,,,,,,,,,,,,,,,,,,,7,,,,,,1,,,1,,1,,1,2,365,122,,,,,3,,,,,,,,,,,17,,5,2,3,1,27,42716
205,7364.151,99,,,4,,1,20,,,,1,,1,4,2,125,1,1,,,10,1,3,1,,,,5,,2,,,,2,,,,2,1,,1,,1,,,6,7,1,1,2,,,,,8,,2,1,5,,,,,1,,3,,,1,1,,,,,,,,17,,,,,,,3,,6,1,1,1,1,1,358,34,,,,,14,,,,2,,,,,,,2,,1,4,3,,16,42716
210,7674.165,61,,1,,1,,8,,,,,,,2,,151,,,1,,11,19,4,7,,,1,6,,1,,,,,,,,1,,,2,,,,,10,5,,,,,,,,18,,2,,5,,,,,,,,,,1,,,,,,,,,19,,,,,,,,,5,2,3,,,,347,48,,,,,10,,,,1,,,,,,,13,,7,4,7,1,27,42716
215,7919.107,40,,,1,,,4,,,,,,,2,,99,1,1,,,6,9,3,,,,,14,2,,1,,1,1,1,,1,1,,,5,,,,,10,4,2,3,,,,,,17,,1,1,8,,,,,,,,1,,,,,,,,,,,8,,2,,,,,3,,1,1,1,,,,256,38,,,,,3,,,,,,,,,,,13,,2,,4,4,20,42716
220,8159.42,88,,,3,,1,7,,1,,,,,3,,107,3,3,1,,5,12,1,1,,,,13,2,,,,2,,,,,,,,0,,1,,,8,3,,,,,,,,12,,3,1,8,,,,,,,,,,,,,,,,,,,10,,,,,,,,,4,1,1,,1,,306,36,,,,,1,,,,,,,,,,,8,,2,1,3,1,17,42716
225,8395.846,92,,,,1,,1,,1,1,,,,,,154,2,,,,5,9,2,1,,,,6,,,,,1,1,,,,,,,0,,,,,21,,,,,,,,,20,1,7,,14,,,,,,,,,,,,,,,,,,,7,,,,,,,,,6,,,,,,353,0,,,,,2,,,,,,,,,,,13,,,,,1,36,42716
228,8538.659,75,,5,3,1,4,8,,,,,,,4,,138,4,,,,4,16,4,2,3,,,7,1,2,,,,,,,1,,,1,0,1,,,,8,7,,,,,,,,25,1,8,,5,,,,,,,,,,2,,,,,,,,,12,,,,,,,,,5,,,,,,357,11,,,,,3,,1,,,,,,,,2,14,,3,2,3,2,21,42716
233,8770.214,67,,3,3,,2,6,,1,,1,,1,1,,123,1,,,,,9,1,1,,1,,3,6,1,,,,2,,,,,,,1,,,1,,18,14,2,,,,,,,19,,1,,13,,,,,,,,,,1,1,,,,,,,,17,,3,,,,,,3,1,,1,,4,1,334,13,,,,,5,1,,,,,,,,1,,5,5,3,1,1,2,22,42716
235,8863.66,72,,,3,4,,13,,1,,1,,1,,,146,1,2,,,,6,1,3,3,1,,7,1,,1,,,,,,,,,1,1,,,,,24,4,,,,1,,,,19,,2,,8,,,,,,,,,,,,,,,,,,,16,,,,,,,,,1,,2,,,,346,1,,,,,2,,,,,,,,,,,12,,,,1,1,31,42716
238,9005.896,89,,2,9,2,3,10,,1,,1,,,6,,131,1,2,,,0,5,7,3,,1,,5,4,1,,,,,,,,,,,3,,,,,14,6,,,1,,,,,15,,2,,11,,,,,,,,,,,,,,,,,,,12,,,,,,,,,3,1,1,,,,352,15,,,,,3,,,,,,,,,,,11,,6,2,7,1,25,42716
240,9100.721,84,,3,5,3,2,4,,1,,2,,4,1,,106,3,1,,,6,8,6,3,,,1,5,,,,,,,,,1,,,,1,,1,,,9,3,,,,,,,,12,,4,,10,,,,,1,,1,,,,,,,,,,,,13,,,,,,2,,,1,,4,,1,,312,14,,,,,4,,,,,,,,,,1,6,,2,3,1,2,18,42716
245,9337.781,104,,4,1,3,1,8,,1,,,,1,,,95,1,,,1,,10,1,,1,2,,2,,,,,,,,,,,,,0,,,1,,23,1,4,,,,,,,23,,1,1,9,,,,,,,,,,1,,,,,,,,,16,,,,,,,,,5,2,3,,,,326,5,,,,,5,,,,,,,,,2,,2,,3,2,2,1,20,42716
250,9577.005,154,2,5,7,3,5,10,,2,,1,,1,1,,111,1,,,,1,9,11,1,2,,1,8,2,1,,,,,,,,1,,,4,,,,,22,7,3,0,3,,,,,21,3,2,1,11,,,,,1,,,,,,,,,,,,1,,26,,,,,,,,,5,1,3,,,1,455,2,,1,,,4,2,,,,,1,,,,,5,,1,3,,2,34,42716
