Depth (cm),Cal age,Pinus indeterminable,Pinus undiff,Pinus banksiana t.,P. rigida t.,Pinus diplox,P. haplox,Tsuga,Picea glauca,P. mariana,P. undiff,P. indet.,Abies,Vesciculate conif,Thuja/Juniperus,Quercus,Carya,Castanea,Juglans cinera,J. nigra t.,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,F. penn t.,Fraxinus sp.,Alnus viridis t.,A. incana,Acer rubrum,Acer saccharum/nigrum,Acer negundo t.,Acer sp.,Nyssa,Liquidambar,Clethra,Moraceae,Tilia,Salix,Populus,Ledum/Chamydaphnea, Ericaceae undiff,VItis,Parthenocissus t.,Myrica,Corylus,Corylaceae,Ilex,Platanus,Cephalanathus,Viburnum,Rhamnus,Rhus,Myrtaceae t.,Cornus sanquinaria t.,Combretaceae T.,Anacardiaceae,Ceanothus t.,Sambucus,Poaceae,Artemisia,Ambrosia,Rumex,Tubuliflorae,Plantago,Secale,Zea,Cheno Am,Solanaceae,Urticaceae,Iva ciliata t.,Rosaceae ,Thalictrum,Fabaceae,Brassicaceae,Ranunculaceae,Hydrocotyle t.,Apiaceae,Hypericum t.,Polygonum aviculare. t.,Lamiaceae,Liliaceae,Saxifraga oppositifolia t.,Impatiens,Lycopodium inundatum T.,Caryophyllaceae,Boraginaceae,Triticum t.,Sisyrhincium t.,Petalostemum purpereum t.,Cyperaceae,Pteridium t.,Dryopteris t.,Osmunda ,Trilete unk,"Lycopodium sp.,",Upland sum,Isoetes,Equisetum,Sphagnum,Typha,Myriophyllum,Nuphar,Nymphaea,Brasenia,Potamogeton,Sagittaria,Sparganium t.,Eriocaulon,Pontederia,Utricularia,Cabomba,Cupressaceae stomata,Pinus stomata,Non conifer stomata,PreQuaternary,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,Exotic count,Exotic spike
132,696.786,18,,,5,1,1,9,,,1,1,,,1,111,14,,1,,27,20,2,2,1,1,,,,2,1,,,6,,5,,,,,,5,,,64,1,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,2,9,,,320,,,2,,,,6,2,,,,,,,,,,,,4,,4,2,19,3,61,42716
138,808.403,14,,,1,4,3,8,,1,1,,,,3,90,8,1,1,,22,18,4,4,1,3,,1,,4,3,2,1,4,,7,,2,1,,,4,,1,64,1,,3,1,1,,,,,,,,,,2,1,1,,,,,,,,,,,,2,,1,,2,,,,,1,,,,,,,,2,4,3,4,,,310,,,,,,1,3,,,,,,,,,,,,,1,,2,,,3,57,42716
144,920.02,16,,2,1,,,8,,,,1,,,1,94,18,,,,64,15,5,3,3,,,2,,6,2,1,,2,,4,,,1,,,4,,,67,2,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,3,1,12,,,342,,,,,,,3,,,,,,,,,,,,,2,,1,1,14,,71,42716
150,1031.636,16,,4,5,,7,13,,,,1,,,4,101,14,1,,,25,25,7,3,2,,,2,,3,2,,,1,,4,,,,,,,,1,66,,1,2,,,,,,,,,,,,3,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,11,,,329,,,1,,,,1,,,,,,,,,,,,,3,,2,,9,1,86,42716
156,1143.253,12,,1,1,2,1,19,,1,,1,,,3,136,20,,,,24,23,2,1,,1,,,,3,,,,4,1,,,,,,,2,,,51,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,6,5,,,328,,,,,,1,2,,,,,,,,,2,,,,,,2,,10,1,59,42716
162,1254.87,8,,1,1,1,,11,,1,,,1,,1,134,12,,2,,19,13,3,3,1,1,,3,1,3,4,1,,,,2,1,1,,,,5,,,80,1,,2,,,,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,9,1,1,,335,,,1,,,1,4,,,,,,,,,,,,,,,3,,8,4,53,42716
168,1366.487,17,,1,4,,3,12,,,1,1,,,,111,18,,1,,24,19,4,1,,,,1,,8,,,,6,,4,,,,,,1,,1,59,1,,1,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,2,,1,,,,,,,,,,,,,1,,7,,,313,,,,,,,1,,,,,,,,,,,,,1,1,,,3,,60,42716
174,1478.104,13,,,3,,5,10,,,,,,,13,100,15,,,,25,23,2,1,1,1,5,,4,6,,,1,12,,1,,,,,,2,,,45,1,,6,1,,,,,2,,,,,,1,,2,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,8,1,,315,,,,,,,2,,,,,,,,,,,,,1,,1,,6,,68,42716
180,1589.72,14,,1,1,,1,8,,,,1,,,5,95,6,,,,26,30,7,5,1,1,,3,,2,1,,1,7,,2,,,,,,,1,1,66,4,2,3,1,,,1,,,,,,,,3,,1,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,4,3,,,313,,,,,,,1,,,,,,,,,,,,,1,,,3,14,1,85,42716
186,1701.337,15,,,3,,6,14,,,,,,1,3,85,12,,,,21,21,3,,2,3,1,1,,1,1,1,2,6,,5,,,,,,3,,2,87,3,,4,,,,,1,,,,,,,2,,1,1,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,6,1,5,,,326,,,,,,2,5,,,,,,,,,,,,,4,,3,2,4,1,59,42716
