Age (cal BP-prelim),Depth,Cupressaceae,Picea,Abies,Larix,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betuloid,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Other shrubs,Poaceae,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Other herbs,Dennstaeditia, Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Eriocaulon,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Saggitaria,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,Exotic (pollen),Charcoal count,Exotic (charcoal),Tree pollen,Shrub pollen,Herb pollen,Sum Pterid,Upland pollen sum,Sum Aquati,Sum Indete,Total Pollen,Alnus Total,Pinus Total,tree&shrub
7674.328,536,,1,1,,112,35,2,83,,1,3,61,,6,7,2,2,1,120,7,8,1,3,,,,,3,,38,,,,1,,1,,,1,1,,,,,,,,,3,,,2,,,,1,,,,,,1,,,,,,,,,,,,1,,1,,,,,,3,,,,,1,,2,5,,,,5,2,5,12,4,169,,,498,3,7,5,513,8,28,549,1,149,501
7763.512,544,,1,,,95,57,14,71,,1,,69,,4,10,6,3,1,115,7,8,4,,1,,,,,,43,,,,,,1,,1,3,3,1,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,1,1,5,,,,,,,,3,1,,,,,1,2,2,,1,,6,2,3,12,,179,,,510,9,6,10,535,6,23,564,2,166,519
7941.88,560,1,1,,,74,38,6,75,,1,,54,,1,14,8,6,2,136,8,11,4,,2,,1,1,3,,42,1,,1,,,2,1,1,4,3,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,3,,,,,,,2,9,,,,4,1,2,12,2,192,,,491,12,3,7,513,11,21,545,4,118,503
8120.248,576,2,2,2,,120,90,11,51,,,,37,,2,9,3,11,1,146,9,6,1,,,,1,1,,,22,,,,1,,1,2,4,,2,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,3,,,,,1,,,2,,,,,1,,,1,,,,2,2,3,11,,202,,,528,9,2,6,545,2,18,565,7,221,537
8386.488,592,3,2,,,116,66,11,55,,3,1,30,,4,8,4,8,1,156,7,4,2,,1,,,,,1,4,,,,,2,1,,2,,4,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,2,1,,,1,,,1,7,,,,1,,,16,1,197,,,487,9,2,6,504,9,18,531,3,193,496
8657.912,608,2,3,,,150,71,18,50,,1,1,34,,7,10,4,2,5,117,4,2,1,,,,,,3,,7,,,,,,2,,1,2,4,,,,,,,,,2,,,2,,2,,,,,,,,,,,,,,,,,,1,,2,,,,,,2,,1,,,,,,,,6,,,,2,,,16,,118,,,492,9,7,5,513,6,18,537,3,239,501
8929.336,624,,1,,,191,79,28,45,,4,,38,,1,7,4,,,92,4,5,,,,,,,2,1,,2,,,,,,,1,1,2,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,2,,,,,1,,3,,,1,,1,,1,8,1,127,,,504,5,1,6,516,5,11,532,1,298,509
9065.048,632,,3,1,1,170,82,17,80,,,,33,,3,6,5,1,1,81,7,7,1,,,,,,3,,,,,,,,1,1,1,3,5,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,8,,,,,,,,2,,,,,,,3,10,,1,,3,,6,15,3,143,,,502,11,3,10,526,14,27,567,3,269,513
9200.76,640,1,2,,,135,110,20,83,,2,,37,,3,4,7,4,2,82,1,1,1,,,,,,,,,,,,,,1,,,3,5,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,3,,,,,,,,1,,,,7,,2,7,1,114,,,495,9,5,7,516,1,17,534,1,265,504
9336.472,648,1,7,2,,188,70,8,37,,3,1,40,,7,13,5,3,,96,5,7,2,1,,,,1,1,,1,1,,,,,2,,3,,3,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,4,,,,,,1,,1,,,,,,,,8,,,,6,2,1,20,2,121,,,500,8,4,6,518,8,31,557,5,266,508
9472.184,656,,2,2,,172,67,14,28,,1,,68,,9,9,5,3,3,86,12,3,2,,,,,,1,,,,,,,2,5,,3,,6,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,4,,,,3,2,4,9,4,128,,,487,16,2,6,511,4,22,537,8,253,503
9743.608,672,,5,2,,167,111,14,31,,1,,40,,5,5,6,4,1,90,5,6,1,,,,1,1,,,,,,,,,3,2,1,1,,,,,,,,,,,,1,1,,,,,,,,,,3,,,,,,,,,,1,,3,,,,,,,,,,,,1,,,,3,,,,5,2,3,15,2,103,,,496,7,6,3,512,4,27,543,6,292,503
9879.32,680,,9,2,1,193,126,18,15,,3,,25,,3,12,2,,2,78,2,1,3,,,,,1,1,,,,,,,,1,3,4,3,3,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,1,,,,5,,,,,,,,1,,,,,,,,16,,,,1,4,3,7,3,97,,,497,14,5,6,522,16,18,556,8,337,511
10015.032,688,,5,4,1,171,123,9,4,,1,,33,,6,8,3,,1,103,7,9,2,,,,1,,1,,,,,,,,2,1,2,1,6,,,,,,,,,2,,,,,2,,,,1,,,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,9,,,,3,,,19,3,86,,,492,12,5,5,514,9,25,548,5,303,504
10150.744,696,1,9,5,,159,109,17,3,,2,2,41,,9,4,6,1,,95,1,8,,,,,,1,1,,,1,,,,,5,5,6,7,3,,1,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,4,,,,,,,,2,,,,,,,,15,,,,3,8,4,5,,86,,,475,27,3,6,511,15,20,546,16,285,502
10875,704,1,19,14,3,144,121,28,3,,4,1,62,,13,1,7,1,1,40,3,4,2,,,,,,,,1,1,,,,1,5,7,8,3,7,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,5,,,1,,,,,,,,15,,,,3,1,3,19,1,121,,,474,31,1,14,520,15,27,562,20,293,505
11580,712,1,44,17,3,116,72,31,1,,15,2,102,,11,,8,,1,22,6,4,1,,,,,1,1,1,1,,,,,,4,10,17,4,4,,1,,,,,,,3,,1,,,1,,1,,,,,,1,,,,,,,,,,,,27,,,,,3,1,,7,,,,,,,,22,,,,4,1,5,29,1,182,,,461,40,7,38,546,22,40,608,31,219,501
11924,720,,140,34,21,73,24,38,9,,6,4,82,,8,2,3,,1,19,3,,,,,,,,,,,,,,,1,7,21,6,2,4,,2,,,,,,,7,,,1,,1,,,,,,,,10,,,,,,,,1,,,,16,,,,,10,1,,7,1,,,1,,1,,41,,,,5,3,4,19,2,159,,,467,43,20,35,565,43,33,641,34,135,510
12612,736,9,194,49,1,63,,60,,,17,2,24,,9,14,7,,3,30,2,1,,,,,,1,1,,1,,1,,,,1,7,7,3,14,,2,,,,,1,,15,,,1,,2,,3,,,,,,10,,,,,,,,1,,1,,3,,1,,2,3,1,,6,,,,3,,,,150,,,,9,1,4,16,7,241,,,489,35,33,16,573,153,37,763,15,123,524
13300,752,2,174,23,6,82,15,32,2,,6,2,55,,11,16,4,1,,18,3,2,,,,,,,,,1,,,,,,13,20,2,3,9,,1,,,,,1,,7,,2,,,2,,,,,,,,13,,,,,,,,,,1,,9,,1,,,5,,,3,,,,1,,,,65,,,,4,6,10,27,4,326,,,455,49,25,18,547,66,51,664,35,129,504
13988,768,2,71,2,,129,1,26,,,,23,13,,3,1,,,,2,,,,1,,,,,,,,,,,,1,8,12,9,,2,,2,,,,1,,,23,,8,4,,6,,,,,5,,,48,,,,,,,,,,3,,2,,,,,1,,,2,,,,,,,,1,,,,16,3,7,24,10,2939,,,274,35,97,5,411,1,60,472,29,156,309
