Sample,Cupressaceae,Picea,Abies,Larix,Total Pine,Pinus undiff,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Ostrya-Carpinus,Fraxinus nigra,Fraxinus americana,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer undifferentiated,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Fraxinus undifferentiated,Morus,Ilex,Alnus rugosa,Alnus crispa,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Poaceae,Zea,Artemisia,Ambrosia,Urtica spp.,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bistoides,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva ciliata,Umbelliferae,Xanthium,Denstaedtia,Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,Lycopodium inunadatum,Lycopodium undiff.,Osmunda,Woodsia,Monolete spore,Trilete spore,Brasenia,Drosera,Ruppia,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Indetermined crumpled,Indetermined broken,Indetermined coroded,Indetermined obscured,Unidentified,Unknown,Exotic,Charcoal:Pollen,SUM TREES & SHRUBS,tree&shrub,SUM UPLAND HERBS,SUM PTERIDOPHYTES,SUM AQUATICS,UNIDENTIFIED,POLLEN SUM,POLLEN SUM + AQUATICS
51.5,1,2,0,1,0,30,8,10,64,0,0,0,163,0,3,1,9,88,2,4,5,2,1,0,1,4,0,0,94,42,0,0,0,0,10,8,0,1,9,0,4,0,1,0,1,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,8,0,18,5,2,5,0,1,236,46,568,569,6,11,10,31,585,595
53.5,1,1,0,1,0,41,6,9,91,0,0,0,123,1,3,5,8,97,4,7,4,1,0,0,1,7,4,0,79,34,2,0,1,0,2,8,0,0,11,0,4,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,2,1,1,0,10,0,12,3,3,5,0,0,208,56,556,556,9,11,15,23,576,591
55.5,1,1,0,0,0,35,6,2,81,0,0,0,119,2,4,2,5,99,1,9,7,0,1,1,1,8,2,0,99,19,0,0,1,0,5,7,0,0,6,0,5,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,8,0,12,3,3,7,0,0,277,59,529,529,8,8,11,25,545,556
57.5,4,1,0,0,0,41,5,2,102,0,0,0,141,3,3,1,8,62,2,10,2,1,1,0,1,7,4,0,97,27,0,0,0,0,1,4,0,1,10,0,6,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,12,0,12,3,3,2,0,0,311,108,547,547,7,10,14,20,564,578
59.5,0,1,0,0,0,45,9,2,63,0,0,0,144,2,1,3,3,94,5,6,3,0,1,0,1,7,1,0,98,40,1,0,1,0,3,6,0,0,4,0,5,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,10,0,7,5,2,2,0,0,199,60,550,550,5,13,11,16,568,579
61.5,1,0,0,0,0,55,7,0,73,0,0,1,122,4,3,1,5,87,4,8,2,1,1,0,0,13,2,0,87,32,0,0,1,0,2,9,0,0,3,0,6,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,10,0,2,5,5,3,0,0,223,70,531,531,5,19,11,15,555,566
63.5,2,1,0,0,0,33,10,3,92,0,0,0,146,1,4,3,5,79,4,10,4,1,1,0,0,2,3,0,97,35,2,1,0,0,4,7,0,1,5,0,3,4,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,8,0,11,3,5,5,0,0,267,102,563,563,5,10,11,24,578,589
65.5,3,0,0,0,0,48,8,4,71,0,0,0,172,2,7,4,7,91,2,13,1,0,0,1,1,6,2,0,70,20,0,0,2,0,3,8,0,1,7,0,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,7,0,2,3,0,1,0,0,246,88,557,557,5,15,8,6,577,585
67.5,1,0,0,0,0,47,15,2,85,0,0,1,129,1,1,4,6,91,4,12,1,1,0,0,0,6,1,0,77,26,0,0,0,0,6,13,0,0,10,0,6,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,11,0,10,8,4,8,0,1,155,86,549,549,4,16,13,31,569,582
69.5,3,3,0,0,0,48,6,3,77,0,1,0,125,0,3,7,6,95,1,10,3,0,0,0,1,8,2,0,100,16,1,0,1,0,5,12,0,1,8,0,7,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,11,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,17,0,10,5,10,0,0,0,166,97,553,553,6,17,19,25,576,595
71.5,2,0,0,1,0,45,11,1,107,0,0,0,123,1,2,2,9,92,4,7,3,0,1,0,0,7,3,0,83,25,0,0,0,0,1,5,0,1,3,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,11,0,2,2,1,0,0,0,163,91,549,549,2,14,13,5,565,578
