cal age linear,Sample,Cupressaceae,Picea,Abies,Larix,Pinus total,Pinus undiff,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Ostrya-Carpinus,Fraxinus nigra,Fraxinus americana,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer undifferentiated,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Fraxinus undifferentiated,Morus,Ilex,Alnus rugosa,Alnus crispa,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Poaceae,Zea,Artemisia,Ambrosia,Urtica spp.,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bistoides,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Stellaria,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva ciliata,Denstaedtia,Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,Lycopodium inundatum,Lycopodium undiff.,Osmunda,Woodsia,Monolete spore,Trilete spore,Polypodium,Dryopteris thelypteris,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Indetermined crumpled,Indetermined broken,Indetermined coroded,Indetermined obscured,Unidentified,Unknown,Exotic,Charcoal:Pollen,SUM TREES & SHRUBS,SUM UPLAND HERBS,SUM PTERIDOPHYTES,SUM AQUATICS,UNIDENTIFIED,POLLEN SUM,POLLEN SUM + AQUATICS,total pollen sum,tree&shrub
782.5,67,0,5,0,0,49,24,14,11,108,0,0,0,148,4,0,4,4,71,6,12,7,2,0,0,0,4,2,0,83,17,2,0,1,0,0,4,0,1,4,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,0,8,5,0,4,0,0,274,77,489,7,11,9,17,507,516,533,540
854.8,69,1,5,0,0,48,29,17,2,103,0,0,0,128,1,5,0,7,56,4,12,4,3,0,0,0,5,1,0,108,15,1,0,2,0,1,7,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,6,0,13,3,4,3,0,0,243,39,475,5,5,9,23,485,494,517,523
927.1,71,1,2,0,0,42,20,18,4,117,0,0,0,125,2,3,1,4,70,2,10,2,1,0,0,0,4,0,0,103,17,1,0,2,0,0,1,0,0,9,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,13,0,8,3,2,0,0,0,270,48,478,9,10,17,13,497,514,527,520
999.4,73,2,4,0,0,46,21,20,5,125,0,0,0,133,1,3,4,5,54,5,8,3,2,0,0,2,2,2,0,109,10,0,0,2,0,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,0,5,0,11,1,1,3,0,1,266,49,485,4,13,9,17,502,511,528,531
1071.7,75,0,3,0,0,39,16,18,5,114,0,0,0,114,0,3,3,7,68,5,14,5,0,0,0,0,3,1,0,119,10,0,0,3,0,0,7,0,0,2,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,8,0,8,4,1,5,0,1,235,68,482,5,12,9,19,499,508,527,521
1144,77,0,5,0,0,36,17,13,6,103,0,0,0,126,0,3,2,7,52,3,8,5,2,0,0,1,2,2,0,134,18,0,1,2,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,14,0,8,4,1,4,0,1,259,51,484,1,8,14,18,493,507,525,520
1216.2,79,2,4,0,0,38,21,13,4,106,0,0,0,94,1,4,8,4,58,5,12,7,2,0,0,0,5,2,0,135,12,0,0,1,0,0,3,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,5,0,3,5,5,4,0,0,272,29,469,2,6,8,17,477,485,502,508
1288.5,81,1,2,1,4,51,31,18,2,107,0,0,0,94,2,3,1,7,65,1,14,5,1,0,0,0,3,6,0,127,17,1,0,2,0,0,5,0,0,8,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,4,2,2,2,0,0,266,35,477,8,4,8,10,489,497,507,528
1360.8,83,0,3,0,0,42,22,17,3,120,0,0,0,112,0,2,1,6,67,1,13,9,2,1,0,0,4,0,0,145,14,0,0,0,0,0,12,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,4,4,1,1,0,2,195,51,513,3,5,15,12,521,536,548,557
1433.1,85,2,3,0,1,25,14,9,2,119,0,1,0,113,0,2,3,9,89,1,14,6,1,1,0,1,3,0,0,115,4,4,0,1,0,0,7,0,0,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,6,5,0,3,0,0,217,47,505,3,5,6,14,513,519,533,530
