Sample,Cupressaceae,Picea,Abies,Larix,Pinus total,Pinus undiff,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Ostrya-Carpinus,Fraxinus nigra,Fraxinus americana,Fraxinus undiff.,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer undifferentiated,Tilia,Juglans nigra,Juglans cinerea,Juglans undiff.,Carya,Platanus,Celtis,Fagus,Fagaceae,Betulaceae,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus undiff.,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Poaceae,Secale cereale,Zea,Artemisia,Ambrosia,Iva,Urtica spp.,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bistoides,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Stellaria,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Lythrum,Denstaedtia,Pteridium,Botrychium,Ophioglossum,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,Lycopodium clavatum,Lycopodium inundatum,Lycopodium undiff.,Osmunda,Woodsia,Monolete spore,Trilete spore,Polypodium,Dryopteris thelypteris,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Indetermined crumpled,Indetermined broken,Indetermined coroded,Indetermined obscured,Unidentified,Unknown,Exotic,Charcoal:Pollen,trees and shrubs,herbs,,pteridophytes,aquatics,indeterminable and unknown,pollen sum (upland),pollen sum and aquatics,total pollen sum,ferns,indeterminable and unknown,upland pollen sum,pollen sum + aquatics
40,3,22,0,0,129,109,17.5,2.5,47,0,3,0,81,0,5,3,4,1,258,3,4,1,1,0,0,0,0,12,3,0,26,12,4,16,0,0,0,0,8,0,1,3,3,0,0,0,0,0,0,0,6,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,2,0,0,29,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,0,0,129,0,0,5,3,6,7,2.5,1,299,399.1,653,19,0,37,129,24.5,709,838,860,37,22,709,838
44,3,9.5,1,1,113,79,10,24,42,0,0,0,72,0,4,1,3,0,311,6,5,1,0,0,0,0,0,12,1,0,38,4,3,10,0,0,0,0,12,0,1,2,1,0,0,0,0,0,0,0,14,0,0,1,5,0,0,1,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,1,18,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,136,0,0,1,2,6,4,4.5,0,369,306.2,656.5,28,0,30,136,17.5,713.5,849.5,862.5,29,13,713.5,849.5
48,4,7.5,1,0,70.5,60,10.5,0,28.5,0,1,0,75,0,5,0,3,1,246,9,2,1,0,0,0,0,0,11,1,2,22,5,5,5,0,0,0,0,8,1,1,0,1,0,0,0,0,0,0,0,6,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,87,0,0,3,0,8,5,4,3,283,178.4,516.5,15,0,25,87,23,556.5,643.5,662.5,25,19,556.5,643.5
52,5,6,0,0,58.5,41.5,13,4,39,0,0,1,80,0,6,1,5,0,229,6,8,3,0,0,0,0,0,5,3,0,20,8,1,7,0,2,0,0,14,0,1,1,3,0,0,0,0,0,0,0,14,0,0,1,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,102,0,0,2,1,6,3,2.5,0,270,175.7,512.5,23,0,21,103,14.5,556.5,659.5,671.5,21,12,556.5,659.5
56,1,13.5,0,0,97.5,85,11.5,1,43,0,1,0,63,0,4,2,4,2,270,3,6,3,0,1,0,0,0,9,3,0,25,7,4,4,1,0,0,0,7,0,1,2,2,0,0,0,0,0,0,0,11,0,0,0,6,0,0,2,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,5,0,4,1,0,0,0,1,0,0,0,116,0,0,2,1,10,9,7.5,2,291,652.4,579,29,0,27,117,31.5,635,752,776,27,24,635,752
60,3,9,0,0,62,48,10,4,49.5,0,0,1,64,0,7,0,7,1,269,5,7,3,0,0,0,3,0,14,3,0,30,6,10,5,0,0,0,0,7,0,0,1,2,0,0,0,0,0,0,0,5,0,0,1,4,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,84,0,0,1,0,6,9,3,1,255,267.7,568.5,14,0,14,85,20,596.5,681.5,698.5,14,17,596.5,681.5
64,6,7.5,0,0,59,48.5,9.5,1,37,0,0,0,64,0,6,2,3,1,248,1,2,1,0,1,0,0,0,12,1,0,26,11,2,5,0,1,0,0,18,0,1,3,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,95,0,0,4,2,7,9,2,0,289,222.9,519.5,11,0,13,96,24,543.5,639.5,661.5,13,22,543.5,639.5
68,2,12.5,0,0,72.5,57.5,10,5,48,0,0,1,65,0,3,2,5,0,211,4,8,2,0,0,0,1,0,11,2,0,26,7,2,2,0,1,0,0,14,1,1,0,6,0,0,0,0,0,0,0,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,73,0,0,3,0,7,4,4.5,0,256,124,510,10,0,15,73,18.5,535,608,622,15,14,535,608
72,2,10,0,0,93.5,70,20.5,3,32.5,0,1,0,60,0,5,7,6,1,284,1,2,4,1,0,0,0,0,10,1,0,27,5,6,10,0,1,0,0,17,0,1,1,2,0,0,0,0,0,0,0,9,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,92,0,0,6,2,6,7,5,0,313,507.2,591,16,0,16,92,26,623,715,736,16,21,623,715
76,4,7.5,0,0,68,50,14,4,41,0,1,0,64,0,3,1,2,0,262,4,3,2,1,0,0,0,0,11,0,0,31,9,2,5,0,1,1,0,13,1,2,3,3,1,0,0,0,0,0,0,10,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,111,0,0,1,1,5,5,4,1,217,161.9,546.5,20,0,7,111,17,573.5,684.5,697.5,7,13,573.5,684.5
