Sample #,Depth (m),Depth (cm),Picea,Abies,Larix,Cupressaceae,Salix,Populus,Pinus dipl,Pinus uni,pinus strobus,pinus banksiana,Pinus resinosa,Betula,Tsuga,Fagus,Quercus,Carya,Ostrya-carpinus,Juglans Cinerea,Juglans nigra,Fraxinus nigra,Fraxinus americana,Ulmus,Acer rubrum,acer saccharum,acer pennsylvanica,acer spicatum,Platanus,castanea,tilia,Pyrus-Type,Corylus,Morus,Liquidambar,Celtis,Alnus,Ericaceae,Myrica,Viburnum,Sambucus,Ilex,Taxus,Ephedra Nevandensis-type,Euonymus,Empetrum,Salix cf herbacea,Graminae,Cyperaceae,Rumex,Ambrosia,Artemisia,iva ciliata,Xanthium,Chenopodium americanum,Tubiliflorae,Arenaria,Rosaceae,Cerastium-type,Dianthus-type,Silene-type,Stellaria-type,Thalictrum Ranunculus,Geranium ,Urtica,Plantago cf Lan celata,Humulus ,Labiatae,vf Lycopus,Sarcobatus,Epilobium,Tofieldia,Cornus,Cruciferae,Sarracenia,cf S scrofulariaceae,Potentilla,Saxifraga oppositifoliae-type,cf Diapensia,Filicales ,Dryopteris spinulosa,Filicales 3,Osmunda cinnamomea,osmunda regalis,Botrychium cf lanceolatum,Lycopodium Annotinum,Lycopodium clavatum,Lycopodium Complanatum,Lycopodium inundatum,Lycopodium lucidulum,Lycopodium selago,Pteridum ,Polypodium,equisetrum,Isoetes,Nupher,Pot,Typha-Latiofolia,Typha-sp,Sphagnum,Botryococcae,Pediastrum araneosoma? ,Pediastrum boryanum,Eriocaulon,Sagitaria,Peridinium,Nymphaeae,Myriophillum,cf ,Rhabdocoela,Unknown,unindentifiable
79-3-5,1.75-1.76,175-176,10,17,0,0,0,0,1,23,12,0,0,113,14,19,10,2,1,0,0,2,3,9,1,10,3,0,1,2,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,2,1,0,0,9,0,1,0,0,1,0,0,0,0,10,0,0,0,1,0,0,0,0,0,7,3,5
79-3-35,2.05-2.06,205-206,1,18,0,0,1,0,1,9,5,0,0,95,20,18,9,1,4,0,0,0,0,5,0,5,2,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,28,5,3
79-3-55,2.25-2.26,225-226,2,10,0,1,0,0,1,19,3,0,0,84,7,27,10,1,2,0,0,2,2,6,0,5,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,6,2,0,0,1,0,0,0,0,0,0,3,6
79-3-85,2.55-2.56,255-256,4,42,0,0,0,0,1,66,57,0,0,229,24,79,43,5,21,0,0,7,3,10,1,14,1,0,2,1,1,0,8,0,0,1,7,0,0,0,0,0,0,0,0,0,0,5,4,0,3,1,0,0,0,3,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,81,0,0,1,0,0,1,1,0,2,30,0,0,0,0,3,0,0,0,0,20,2,2,0,1,0,0,0,0,0,0,11,34
79-5-5,2.75-2.76,275-276,1,7,0,0,0,0,2,18,15,0,0,72,6,21,23,2,2,1,0,3,2,4,0,2,1,0,2,1,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,2,1,0,1,3,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,80,2,2
79-5-25,2.95-2.96,295-296,3,37,0,1,1,0,1,59,27,0,0,205,8,47,25,0,8,1,0,4,5,10,0,6,7,0,1,0,1,0,5,0,0,1,12,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49,0,3,0,0,0,2,3,1,0,15,0,0,1,0,4,1,1,0,0,4,1,0,0,0,0,0,0,0,0,0,5,18
79-5-35,3.05-3.06,305-306,1,7,0,0,0,0,3,19,10,0,0,114,4,18,13,0,1,1,0,1,1,4,0,8,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,117,7,0
79-5-50,3.2,320-321,2,5,0,0,0,0,0,12,8,0,0,116,7,21,7,1,1,0,0,5,1,3,0,6,0,1,0,0,1,0,4,0,0,0,4,1,0,3,0,1,2,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,1,0,0,1,1,0,0,0,0,0,0,0,0,16,1,3
79-5-65,3.35-3.36,335-336,2,6,0,1,1,0,0,12,9,0,0,82,23,12,9,0,1,1,0,1,3,1,0,4,0,1,0,0,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,19,1,4
79-5-85,3.55-3.56,355-356,6,23,1,2,1,1,4,48,28,0,0,201,64,33,39,3,7,0,0,7,1,10,0,11,0,2,0,0,3,1,8,0,0,0,10,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,1,2,0,0,0,0,0,31,0,3,0,0,0,3,2,0,0,5,0,1,0,0,13,0,0,1,0,6,4,0,0,1,0,0,0,0,0,0,8,18
79-6-5,3.75-3.76,375-376,1,4,0,0,0,0,2,22,10,0,0,56,49,12,15,1,1,0,0,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,15,1,0
79-6-15,3.85-3.86,385-386,1,9,0,1,0,0,2,38,1,0,0,74,47,8,11,1,0,0,0,1,4,7,0,6,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,2,2
79-6-25,3.95-3.96,395-396,6,11,0,0,0,0,12,72,37,2,1,192,88,29,29,3,4,1,0,7,4,7,1,4,0,1,3,0,1,0,8,0,0,0,8,0,0,1,0,0,2,0,0,0,0,1,3,0,2,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,1,0,0,0,0,3,1,4,8,0,0,0,0,4,0,0,0,0,7,3,0,0,1,0,0,1,0,0,0,8,11
79-6-35,4.05-4.06,405-406,1,5,1,1,0,0,1,23,10,0,0,70,25,5,18,0,4,1,0,1,2,9,0,3,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,490,4,0
79-6-50,4.2,420-421,2,7,0,0,0,0,6,63,20,0,0,78,27,4,18,0,2,0,0,1,0,8,0,0,1,0,2,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,1,1,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,255,0,0
79-6-65,4.35-4.36,435-436,4,19,0,1,1,1,20,79,106,0,0,136,28,5,50,0,8,0,0,5,2,7,0,9,0,0,0,0,2,0,2,0,1,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,2,1,0,0,3,1,0,0,0,9,2,0,0,0,11,0,0,0,0,0,0,0,0,0,132,4,3
79-6-75,4.45-4.46,445-446,1,12,0,0,0,0,6,36,23,0,0,61,5,2,12,1,6,0,0,1,0,5,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,840,0,0
