cal age linear,Depth,Pinus undiff,Pinus diplox,Pinus haplox,Pinus rigida t.,Pinus total,Tsuga,Picea glauca,Picea mariana,Picea Undiff,Picea total,Picea indet.,Abies,Cupressaceae,Quercus,Carya,Castanea,Juglans,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,Fraxinus penn t.,Fraxinus sp,Liquidambar,Ilex,Clethra,Alnus rugosa t.,Alnus crispa t.,Acer rubrum,Acer saccharum,Acer sp.,Nyssa,Salix,Populus,Ericaceae,Vitis,Myrica,Comptonia,Corylus,Betuloid,Tilia,Cephalanthus,Platanus,Celtis,Rhus,Rhamnus,Cornus,Morus,Viburnum,Sambucus,Ephedra,Pollen conc,Poaceae,Artemisia,Ambrosia,Iva ciliata t.,Rumex,Plantago,Tubuliflorae,Liguliflorae,Secale,Zea,Triticum,Solanaceae,Cheno/Am,Salsola,Sarcobatus,Urtica,Thalictrum,Menyanthes t.,Hydrocotyle t.,Apiaceae undiff,Sium t.,Boraginaceae,Cyperaceae,Rosaceae,Filipendula sp.,Ephedra,Hypericum,Xyris,Ranunculus,Polygonum bistota t.,Impatiens,Brassicaceae,Menyanthes,Lamiaceae,Pteridium t.,Dryopteris t.,Osmunda,Trilete unknown,Botrichium t.,Gymnocarpium t.,Athyrium,Polypodium,Elaphoglossum,Lycopodium lucidulum t.,Isoetes,Sphagnum,Myriophyllum,Nymphaea,Nuphar,Brasenia,Potamogeton,Sparganium,Sagittaria,Pontederia,Nymphoidaea,Typha/Sparganiumt.,Eriocaulon,Utricularia t.,PreQuaternary,Pinus stomata,Tsuga stomata,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,Exotic,total pollen sum,C:P,Sample age,sample vol,exotic conc,% sample vol counted,pollen conc/cc,tree sum,tree&shrub
176,40,66,9,12,0,87,11,0,0,6,6,0,0,5,219,20,5,2,16,94,3,3,0,4,0,0,1,1,7,0,1,3,0,0,0,2,5,0,2,0,5,1,0,5,0,0,0,0,0,0,0,0,0,508,42,0,43,0,25,4,4,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,10,6,0,0,0,0,0,0,2,8,1,0,7,1,7,0,0,0,0,0,0,0,0,0,0,0,2,8,2,0,18,1,277,711,105.5,219.9,1,85432,0.0032423448,219285.747292419,482,508
198.8,44,70,19,7,0,96,14,0,0,7,7,0,0,2,267,11,2,0,28,59,1,4,0,4,0,0,0,1,12,0,0,6,3,0,0,1,3,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,528,55,0,49,0,39,1,1,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,0,1,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,19,0,289,730,40.5,244.1,1,85432,0.0033828074,215797.093425606,507,528
221.6,48,63,6,4,2,75,18,1,0,4,5,0,0,7,232,26,4,2,29,79,3,2,0,1,0,0,0,0,12,0,1,7,0,1,1,0,1,0,5,0,5,1,1,1,1,0,0,0,0,0,0,0,0,520,59,1,28,0,26,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,6,3,0,5,3,5,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,4,0,450,679,43.5,268.3,1,85432,0.0052673471,128907.395555556,496,520
244.4,52,45,8,2,1,56,22,1,0,2,3,0,0,8,275,21,3,0,16,72,2,8,0,1,4,0,0,0,14,0,1,8,1,0,0,0,0,0,10,0,1,2,0,0,0,0,0,0,0,0,0,0,0,528,30,0,18,0,17,0,1,0,3,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,5,1,0,0,0,0,0,0,0,2,0,0,4,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,11,2,332,647,66.1,292.6,1,85432,0.0038861317,166489.469879518,503,528
267.2,56,52,4,5,0,61,43,5,0,2,7,0,0,2,242,19,3,0,22,74,0,2,2,6,2,0,1,0,10,0,4,6,0,1,0,2,4,0,4,0,3,2,0,0,2,0,0,0,0,0,0,0,0,524,30,0,13,0,19,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,8,4,0,0,0,0,0,0,0,3,2,0,9,1,6,0,0,0,0,0,0,0,1,0,0,0,1,0,4,1,6,4,415,649,53.3,316.8,1,85432,0.0048576646,133603.296385542,502,524
290,60,39,7,1,4,51,28,3,0,4,7,0,0,10,248,22,10,1,19,75,4,4,1,7,0,0,1,0,22,0,4,6,0,0,0,4,3,1,1,0,3,0,0,0,0,0,2,1,0,0,0,0,0,535,11,1,4,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,6,2,6,0,0,0,0,0,0,0,3,3,0,3,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,215,603,33.2,341,1,85432,0.0025166214,239606.958139535,501,535
330.55,64,47,9,7,2,65,29,1,0,3,4,0,0,1,236,28,2,1,25,85,6,6,1,2,0,0,0,0,10,0,0,8,0,0,0,3,2,0,0,0,11,1,0,0,1,0,0,0,0,0,1,0,0,528,4,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,7,0,2,0,0,0,0,0,2,2,0,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,20,0,313,597,38.3,378.7,1,85432,0.0036637326,162948.575079872,504,528
371.09,68,41,0,4,4,49,37,1,0,4,5,0,0,6,260,22,3,0,20,74,3,6,0,4,1,0,0,0,17,0,1,5,0,1,0,2,2,0,4,0,10,0,0,0,1,0,1,1,0,0,0,0,0,535,4,1,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,2,4,0,0,0,0,0,0,1,3,2,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,18,0,392,598,106.5,416.3,1,85432,0.0045884446,130327.387755102,500,535
411.63,72,41,7,6,4,58,30,1,0,5,6,0,0,4,240,30,3,1,14,64,7,11,0,2,0,0,1,1,22,0,3,5,0,0,1,3,2,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,515,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,4,1,0,0,0,0,0,0,0,2,2,0,3,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,5,0,529,567,73,454,1,85432,0.0061920592,91568.8922495274,483,515
452.17,76,39,1,3,4,47,30,3,0,1,4,0,1,4,249,20,5,0,21,59,3,4,6,4,0,0,1,0,21,0,5,4,0,0,0,1,1,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,504,10,1,2,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,18,3,3,0,0,0,1,0,0,0,3,1,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,343,580,80,491.7,1,85432,0.004014889,144462.274052478,467,504
