corrected depth,Cupressaceae,Picea,Abies,Larix,Pinus total,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Other trees,Ilex,Alnus,Alnus rugosa,Alnus crispa,Arceuthobium,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Saxifraceae,Rhus,Other shrubs,Sum AP,Poaceae,Zea,Artemisia,Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Potentilla,Brassicaceae,Campanulaceae,Lamiaceae,Impatiens,Iridaceae,Other herbs,Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Equisetum,Dryopteris-type,Dryopteris spinosa-type,Athryrium Filex-Femina,Other Pterid,Myriophyllum exalbescens-type,Sphagnum,Typha,Sparganium,Menyanthes,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Polygonum amphibium-type,Sagittaria,Lycopus-type,Utricularia,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Indet. Degraded,Unknown,Exotic (pollen),Tree pollen,trees and shrubs,herbs,ferns,aquatics,indeterminable,upland pollen sum,pollen sum + aquatics,total pollen sum
80,5,2,0,1,87,37,5,45,51,0,1,4,61,0,0,6,6,3,0,206,6,5,4,0,0,2,1,21,0,0,28,7,0,0,0,0,0,10,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,608,6,0,0,2,2,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,8,0,0,1,0,609,594,521,21,10,18,10,552,570,580
84,2,3,0,0,91,30,5,56,66,0,0,0,67,0,0,5,5,3,0,201,6,6,1,0,1,1,0,19,1,0,27,7,0,0,0,0,0,5,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,612,1,0,0,6,0,1,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,3,0,479,603,521,15,2,13,11,538,551,562
88,3,3,0,0,93,26,4,63,61,0,5,1,50,0,0,6,3,7,0,216,5,2,3,0,1,1,2,21,0,0,44,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,627,2,0,0,6,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,9,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0,0,287,622,534,18,4,16,5,556,572,577
92,0,2,0,0,83,26,5,52,60,0,0,0,73,0,0,8,4,0,0,241,8,3,0,0,1,0,1,18,0,0,17,8,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,617,9,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,4,0,2,0,0,556,610,534,14,3,9,7,551,560,567
96,3,4,0,0,93,26,5,62,46,0,2,2,59,0,0,10,7,4,0,213,9,1,3,0,1,0,0,18,2,0,35,2,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,612,2,0,0,10,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,16,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,322,608,519,17,10,24,4,546,570,574
100,0,0,0,0,110,36,4,70,49,0,0,0,58,0,0,2,7,2,0,209,5,5,2,1,3,0,0,19,0,1,46,2,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,640,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,16,4,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,336,631,530,9,4,25,5,543,568,573
104,1,3,0,0,83,16,2,65,52,0,1,2,76,0,0,10,4,2,0,189,9,2,3,0,2,3,1,22,0,1,39,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,596,4,0,1,4,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,235,593,513,18,1,16,5,532,548,553
108,2,1,0,0,107,31,2,74,56,0,0,2,73,0,0,2,2,0,0,195,3,7,2,0,2,0,0,21,1,0,37,2,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,628,3,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,412,622,521,7,5,13,6,533,546,552
112,2,4,0,0,121,28,7,86,36,0,2,0,56,0,0,12,6,5,0,210,6,6,2,0,1,3,2,22,2,1,40,5,0,0,0,0,0,6,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,676,4,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,22,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,135,665,555,10,6,26,5,571,597,602
116,3,2,0,0,108,39,2,67,41,0,2,1,65,0,0,1,7,5,0,223,8,2,2,0,0,0,1,23,1,0,32,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,644,3,0,0,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,8,4,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2,1,251,635,536,11,5,16,12,552,568,580
120,3,0,0,0,110,36,3,71,36,0,0,0,73,0,0,4,12,4,0,224,7,2,5,0,2,0,0,17,0,0,25,5,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,644,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,114,639,534,6,2,17,3,542,559,562
124,2,1,0,0,89,40,2,47,45,0,0,2,85,0,0,5,3,4,0,221,5,4,2,0,3,0,2,21,0,0,41,5,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,633,3,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,9,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,315,629,544,9,3,15,7,556,571,578
128,4,2,0,0,100,26,4,70,36,0,0,5,68,0,0,8,10,6,0,224,7,4,1,0,0,0,1,15,0,0,27,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,630,1,0,0,2,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,7,5,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,247,621,530,11,4,19,8,545,564,572
132,2,2,0,0,106,32,3,71,34,0,0,1,58,0,0,2,7,2,0,234,6,4,4,0,2,0,0,19,0,1,40,2,0,0,0,0,0,5,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,642,6,0,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,534,632,536,11,2,13,5,549,562,567
136,0,2,0,0,103,35,3,65,37,0,0,1,79,0,0,7,5,4,0,231,8,4,1,0,2,0,0,8,1,0,33,10,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,649,2,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,235,639,546,6,3,17,6,555,572,578
140,1,1,0,0,94,33,5,56,35,0,0,4,70,0,0,5,6,6,0,227,6,5,3,0,2,2,0,10,0,2,42,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,624,2,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,21,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,127,618,530,7,7,28,3,544,572,575
144,1,0,0,0,113,32,6,75,32,0,0,0,48,0,0,5,24,6,0,213,4,3,0,0,1,1,3,19,0,0,32,1,0,0,0,0,0,4,0,0,0,1,0,0,5,0,0,1,0,0,0,0,0,630,5,0,1,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,10,5,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,183,619,517,21,3,19,5,541,560,565
148,1,1,0,0,120,30,3,87,34,0,3,1,60,0,0,3,8,3,0,222,7,2,3,0,3,0,1,22,0,2,43,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,664,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,15,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,157,660,544,2,6,18,2,552,570,572
152,1,1,0,0,87,21,2,64,28,0,0,0,60,0,0,6,5,9,0,240,9,3,5,0,1,1,0,16,0,0,52,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,616,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,20,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,611,529,7,2,27,0,538,565,565
156,0,1,0,0,113,32,4,77,50,0,0,1,63,0,0,7,7,4,0,237,7,4,5,0,3,1,0,25,1,0,68,0,0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,718,0,0,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,6,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,272,710,605,7,11,12,4,623,635,639
160,2,2,0,0,101,35,4,62,27,0,0,0,62,0,0,4,11,6,0,230,9,4,4,0,2,3,0,21,0,0,51,2,1,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,651,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,96,643,550,7,2,18,2,559,577,579
164,2,0,0,0,122,39,1,82,36,0,1,2,53,0,0,3,2,6,0,203,6,3,2,0,0,2,0,21,0,0,60,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,651,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,123,649,529,8,6,17,2,543,560,562
168,4,0,0,0,97,40,8,49,33,0,0,1,56,0,0,5,17,2,0,247,4,3,1,0,0,0,3,18,1,3,55,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,651,3,0,1,2,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,140,647,554,12,5,12,5,571,583,588
