depth,Cupressaceae,Picea,Abies,Larix,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,total Pinus,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betulaceae,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Other trees,Ilex,Alnus,Alnus rugosa,Alnus crispa,Arceuthobium,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Saxifraceae,Other shrubs,Sum AP,Poaceae,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Potentilla,Brassicaceae,Campanulaceae,Lamiaceae,Impatiens,Lamiaceae,Other herbs, Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Equisetum,Dryopteris-type,Dryopteris spinosa-type,Athryrium Filex-Femina,Other Pterid,Myriophyllum exalbescens-type,Sphagnum,Typha,Sparganium,Menyanthes,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Polygonum amphibium-type,Sagittaria,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Indet. Degraded,Unknown,Exotic (pollen),C:P,Exotic (charcoal)
88,8,6,0,0,5,12,20,37,107,0,3,1,130,0,0,12,3,8,0,116,6,11,0,0,0,0,1,9,0,0,39,8,12,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,520,2,0,1,1,0,1,0,0,0,0,1,0,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,3,0,0,235,40.6 ,0
92,4,6,0,1,1,13,16,30,141,0,0,0,121,0,0,11,3,3,0,95,10,7,1,0,2,1,2,13,2,0,45,2,10,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,516,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,2,4,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,0,0,148,9.8 ,0
96,3,3,1,0,3,14,25,42,144,0,1,0,119,0,0,9,8,12,0,92,7,7,3,0,0,0,4,12,1,1,36,3,8,0,0,0,0,1,0,0,1,1,0,0,4,0,0,0,0,0,0,0,523,1,0,1,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,148,16.6 ,0
100,4,2,0,0,4,9,26,39,156,0,0,1,80,0,0,7,4,6,0,97,8,4,1,0,0,1,0,14,6,1,72,1,9,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,523,1,0,2,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,157,14.3 ,0
104,8,1,0,1,3,11,20,34,120,0,0,0,117,0,0,9,6,5,0,83,7,6,0,1,0,0,0,12,0,0,79,1,11,0,0,0,0,2,0,0,0,2,0,0,7,0,0,0,0,0,0,0,512,1,0,1,3,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,3,0,2,1,1,183,24.8 ,0
108,3,8,0,0,2,14,21,37,150,0,0,0,106,0,0,7,5,6,0,101,4,7,1,0,0,0,1,10,6,0,76,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,536,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,6,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,3,0,0,154,34.3 ,0
112,3,5,2,0,6,12,20,38,154,0,1,0,90,0,0,3,5,5,0,109,3,9,1,0,0,2,0,9,0,0,65,1,16,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,529,2,0,2,0,0,0,0,0,0,0,0,2,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,2,3,0,1,3,0,163,14.6 ,0
116,2,3,0,0,2,9,16,27,215,0,0,0,81,0,0,4,3,8,0,92,3,4,0,0,1,2,1,9,2,0,56,1,7,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,527,2,0,0,0,0,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,8,0,0,120,20.7 ,0
120,0,9,1,0,1,9,23,33,180,0,0,1,104,0,0,10,2,5,0,81,8,10,0,0,0,1,1,7,2,0,58,0,18,0,0,0,0,3,0,0,0,2,0,0,1,0,0,1,0,0,1,0,539,2,0,2,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,1,0,79,8.4 ,0
124,0,5,0,0,2,9,32,43,205,0,0,0,89,0,0,7,4,2,0,78,7,5,0,0,0,1,0,5,4,0,56,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,530,2,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,96,15.4 ,0
128,12,4,1,2,2,18,24,44,197,0,4,0,64,0,0,4,3,6,0,86,3,5,0,0,2,3,0,10,1,0,44,1,16,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,524,4,0,3,5,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,3,0,77,11.1 ,0
132,1,2,0,1,9,8,27,44,188,0,1,0,94,0,0,4,9,12,0,102,4,3,0,0,2,1,0,10,4,0,44,1,8,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,1,0,544,2,0,2,2,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,3,0,92,11.7 ,0
136,1,5,0,0,3,13,18,34,168,0,0,0,88,0,0,9,5,9,0,81,6,5,1,0,1,1,0,19,4,0,53,5,21,0,0,0,0,1,0,0,0,4,0,0,8,0,0,0,0,0,1,0,530,2,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,85,5.4 ,0
140,2,6,0,0,4,19,37,60,187,0,2,1,73,0,0,5,5,3,0,101,6,3,0,0,1,0,2,13,3,1,51,1,5,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,534,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,22,6.3 ,0
144,7,4,0,0,5,6,18,29,209,0,1,0,114,0,0,6,7,6,0,77,3,8,0,0,1,0,1,14,0,0,36,0,18,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,547,1,0,3,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,0,68,6.0 ,0
148,0,3,0,0,3,4,23,30,161,0,1,2,126,0,0,8,10,10,0,96,4,3,0,0,0,0,1,8,3,2,61,2,9,0,0,0,0,4,0,0,0,1,0,1,10,0,0,0,0,0,0,0,556,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,0,3,0,1,2,0,118,4.4 ,0
152,2,2,0,0,2,12,24,38,179,0,0,2,74,0,0,4,3,10,0,92,4,7,0,0,2,1,0,22,2,0,49,2,25,0,0,0,0,4,0,0,0,3,0,0,2,0,0,0,0,0,0,0,529,0,0,3,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,1,0,0,0,6,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,5,1,0,104,10.1 ,0
156,2,3,0,0,1,8,27,36,192,0,0,0,63,0,0,5,4,12,0,95,4,5,0,0,1,1,3,10,2,1,61,1,3,0,0,0,0,2,0,0,0,2,0,0,5,0,0,2,0,0,0,0,515,1,0,0,1,1,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,1,0,181,27.1 ,0
160,0,2,0,1,4,11,13,28,214,0,0,0,87,0,0,8,2,5,0,82,4,7,0,0,0,3,0,13,4,0,76,0,11,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,552,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3,3,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,2,0,3,0,0,115,4.9 ,0
164,2,5,0,0,5,10,21,36,215,0,1,1,55,0,0,5,4,4,0,106,3,4,0,0,1,3,0,7,0,0,52,3,7,0,0,0,0,2,0,0,0,0,0,0,8,0,0,1,0,0,0,0,525,3,0,1,0,0,2,0,1,0,0,1,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,127,27.7 ,0
168,1,0,0,0,7,15,20,42,215,0,3,0,70,0,0,3,5,10,0,113,3,3,0,0,1,0,1,11,2,0,63,4,8,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,564,0,0,2,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,0,105,4.6 ,0
172,2,1,0,0,5,16,14,35,172,0,0,0,66,0,0,4,2,3,0,95,5,10,0,0,2,1,3,10,4,0,88,3,5,0,0,0,0,1,0,0,0,2,0,0,2,0,0,2,0,0,0,0,518,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,5,5,0,0,0,2,1,0,1,0,0,0,5,0,0,0,0,2,2,0,2,1,0,87,10.1 ,0
176,0,4,0,1,3,13,10,26,176,0,2,1,67,0,0,1,2,12,0,98,8,5,3,0,0,1,1,17,2,0,88,1,7,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,533,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,2,0,0,0,0,75,6.6 ,0
180,3,1,0,1,8,19,20,47,198,0,1,1,78,0,0,3,1,7,0,81,3,2,1,0,0,2,0,14,2,0,85,4,4,0,0,0,0,3,0,0,0,0,0,0,7,0,0,1,0,0,0,0,550,0,0,2,3,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,4,3,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,2,2,0,80,5.2 ,0
