Depth (cm),Cal age,Abies,Acerud,Acer negundo-type,Acer rubrum,Acer saccharum-type,Alnus incana-type,Alnus viridis,Ambrosia-t,Apia,Arceuth,Art,Astae.Lu,Astae.Tu,Betula,Brasenia,Broken,Carya,Castanea,Celtis,Cephalanthus,Cerea,Ch/Am,Clethra t.,Circa,Corroded,Corylaceae,Corylus,Crumpled,Cornus,Cupressaceae,Cyperaceae,Degraded,Dryopteris t.,Equise,Ercae,Eriocaulon,Exotic,Fabaceae,Fagus,Fraxinus nigra-type,Fraxinuspe-t,Fraxinus.ud,Hidden,Galium,Ilex,ind,Iso,Isoetes,Iva,Juglans.c,Juglans.n,Larix,Liriodendron,Liquidambar,Lyc.a,Lyc.cl,Lycae.ud,L. inundatum,Lycopodium lucidulum,Myrica,Myriophyllum,Nupher,,Nyssa,Osu,Ostrya/Carpinus,Pinus indeterm,Pinus undiff,Pinus banksiana-t.,Pinus diplox t.,Pinus rigida t.,Pinus resinosa t.,Pinus subg. strobus,Picea mariana,Picea rubens/undiff.,Picea indet.,Platanus,Plantago,Plypod,Poaae,Populus,Potomogeton,Polygonum pers. T.,Potentilla,Ptr-t,Quercus,Ranunculaceae,Rubus ch,Rhus,Rosaceae undiff,Rum,Rumex,Sagittaria,Slx,Sparganium-type,Sphagnum,Taxus,Thali,Tilia,Triticum t.,Tsuga,Tsuga stomata,Ty/Sp,Ulm,unk,Unknown stomate t.,Urtica,Vesiculate conif.,Vitis,,upland sum
114,3191.067,0,10,,,,6,,0,0,0,1,0,0,76,,,2,1,0,,0,0,,0,,,0,,0,1,0,,,0,1,,60,,77,,0,9,,0,5,0,0,0,0,0,0,0,,0,4,0,0,,,0,,0,,0,0,1,81,,,0,,,6,,,0,0,0,0,0,0,,,0,1,78,0,0,,,0,0,,0,,,,0,0,,77,,0,3,0,,0,,,,440
124,3487.434,,2,,5,8,7,,,,,2,,,75,,5,1,,1,,,,,,4,2,,4,,,,1,2,,1,,40,,51,1,2,3,34,,,,,14,,,,,,,,,,,1,,,,,,,1,57,,8,,,,9,,,,1,,,,,,,,,47,,,,,,,,,1,,,,,,100,2,,1,3,,,2,,,388
124,3487.434,,,2,4,3,,2,,,,,,,71,,6,7,,,1,,,,,3,1,,1,,,2,2,1,,1,1,62,1,82,1,,,31,,3,,,11,,1,,,,,,,,,,1,,,,,,3,86,,1,1,1,,12,,,,,,,2,1,,1,,,48,1,,,,,1,,1,,,,,,,133,,,3,,,,1,,,479
135,3811.036,0,7,,,,9,,0,0,0,0,0,0,65,,,1,0,0,,0,0,,0,,,0,,0,0,0,,,0,1,,57,,70,,0,3,,0,0,25,0,0,0,0,0,0,,0,1,0,0,,,0,,0,,0,0,4,101,,,2,,,10,,,0,0,0,0,0,0,,,0,1,52,0,0,,,0,0,,0,,,,0,1,,83,,0,4,2,,0,,,,415
145.5,4109.447,0,11,,,,14,,0,0,0,0,0,0,70,,,1,0,0,,0,0,,0,,,0,,0,0,0,,,0,1,,58,,61,,1,4,,0,0,26,0,0,0,2,0,0,,0,1,0,1,,,0,,0,,1,1,3,78,,,0,,,27,,,1,0,0,0,0,0,,,0,0,83,0,0,,,0,0,,0,,,,0,0,,42,,0,3,5,,0,,,,406
156,4251.172,0,11,,,,9,,0,0,0,0,0,0,70,,,0,0,0,,0,0,,0,,,0,,0,0,0,,,0,0,,36,,55,,0,6,,0,1,22,0,0,0,0,0,0,,0,2,0,0,,,0,,0,,0,1,1,114,,,0,,,19,,,1,0,0,0,1,0,,,0,3,90,0,0,,,0,1,,0,,,,0,0,,29,,0,3,3,,0,,,,417
177,4518.447,0,8,,,,8,,0,0,0,1,0,0,50,,,5,0,0,,0,0,,0,,,1,,0,0,1,,,0,1,,43,,65,,0,7,,0,0,31,0,0,0,0,0,0,,0,1,0,0,,,0,,0,,2,0,1,107,,,0,,,15,,,3,0,0,0,0,0,,,0,0,92,0,0,,,0,0,,0,,,,0,1,,33,,0,1,1,,0,,,,403
198,4785.722,0,9,,,,12,,0,0,0,1,0,0,79,,,4,0,0,,0,0,,0,,,1,,2,0,0,,,0,0,,45,,56,,0,7,,0,1,32,0,0,0,0,0,0,,0,0,0,0,,,1,,0,,2,1,0,94,,,2,,,10,,,1,0,0,0,0,0,,,0,2,112,0,0,,,0,1,,0,,,,0,0,,32,,0,6,2,,0,,,,436
219,5052.997,0,7,,,,16,,1,0,0,1,0,0,103,,,3,0,0,,0,0,,0,,,0,,0,0,0,,,0,0,,27,,82,,0,1,,0,1,33,0,0,0,0,0,0,,0,0,0,0,,,0,,0,,3,0,1,86,,,0,,,16,,,3,0,0,0,0,0,,,0,0,70,0,0,,,0,0,,0,,,,0,0,,30,,0,0,0,,0,,,,424
230,5186.818,,,1,11,,,6,1,,,,,,77,,14,1,,,,,,,,,1,,2,,,1,6,4,,,,48,,60,,2,,39,,,,,27,,,,,,,,,,,1,,,1,,2,2,4,96,,2,1,,,25,,,,1,,,,,,,,2,48,,,,,,,,,1,,,,,1,48,,,4,,,,,,,402
240,5310.543,1,8,,,,11,,0,0,0,0,0,0,70,,,1,0,0,,0,0,,0,,,2,,0,0,0,,,0,0,,34,,57,,0,6,,0,0,31,0,0,0,0,0,0,,0,0,0,0,,,1,,0,,0,1,2,119,,,0,,,15,,,1,0,0,1,1,0,,,0,0,78,0,0,,,0,0,,0,,,,0,1,,44,,0,3,2,,0,,,,423
245,5376.154,,2,,,5,3,5,,,,,,,58,,6,3,,,,,,,,2,,,4,,,,8,1,,2,,27,,34,1,,,27,,,,,16,,,,,,,,,,,,,,,,,,,72,,1,2,,,12,2,,,,,,1,,,,,1,55,,,,,,1,,,,,,,,,50,,,3,1,,,2,,,314
250,5447.192,0,9,,,,14,,0,0,0,0,0,0,63,,,3,0,0,,0,0,,0,,,0,,0,1,0,,,0,1,,35,,65,,0,9,,0,0,20,0,0,0,1,0,0,,0,0,0,0,,,1,,0,,0,1,0,63,,,0,,,19,,,3,0,0,0,0,0,,,0,1,69,0,0,,,0,0,,0,,,,0,1,,80,,0,2,1,,0,,,,406
255,5565.182,,2,,5,1,,12,,,,1,,,48,,3,5,,,,,1,,,,,,2,,,,7,1,,,,32,,51,,,,25,,1,,,26,,,,,,,,,,,1,,,,,,,2,72,,1,,2,,9,,,,,,,,,,,,,53,,,,,,,,1,,,,,3,,99,,,1,,,,,,,372
261,5711.754,0,8,,,,5,,1,0,0,0,0,0,57,,,3,0,0,,0,0,,0,,,0,,0,1,0,,,0,2,,23,,49,,0,9,,0,0,36,0,0,0,0,0,0,,0,0,0,0,,,0,,0,,0,1,4,75,,,0,,,7,,,3,0,0,0,0,0,,,0,0,64,0,0,,,0,0,,0,,,,0,1,,131,,0,5,0,,0,,,,426
266,5833.898,,,,3,5,,8,1,,,,,,48,,5,2,,,,,,,,,,1,,,4,,11,,,,1,33,,27,1,,1,44,,,,,27,,1,,,,,,,,,,,,,,2,1,3,51,1,3,1,2,,11,,,1,,,,2,1,,,,,55,,,,,,,,,,,,,,,103,,,4,2,,,,,,343
271.5,5956.042,1,4,,,,7,,0,0,0,0,0,0,65,,,4,0,0,,0,0,,0,,,0,,0,0,0,,,0,1,,52,,69,,0,3,,0,0,15,0,0,0,0,0,1,,0,0,0,0,,,0,,0,,0,0,0,70,,,2,,,30,,,0,0,0,0,0,0,,,0,1,85,0,0,,,0,0,,0,,,,0,1,,130,,0,4,5,,0,,,,478
277,6102.615,,4,2,4,5,,4,,,,,,1,53,,7,2,,,,,,,,1,,,2,,,,13,,,,,30,,59,2,4,,27,,,,,12,,1,,,,,,,,,,,,,,6,1,3,71,1,,2,,,10,,,,1,,,,,,,,3,72,,,,,,,,,,,,,,,89,,,3,1,,,,,,403
282,6224.759,1,10,,,,5,,0,0,0,0,0,0,51,,,0,1,0,,0,0,,1,,,0,,0,0,0,,,2,0,,39,,57,,0,8,,0,1,26,0,1,0,0,0,0,,0,0,0,0,,,1,,0,,0,0,2,68,,,1,,,8,,,0,0,0,0,0,0,,,0,4,102,0,0,,,0,1,,0,,,,0,0,,84,,0,1,4,,0,,,,407
287,6346.902,,,,2,2,1,6,,,,1,,,56,,2,,1,,,,1,,,,,2,1,,1,,4,1,,1,,35,,44,1,,,17,,1,,,7,,,,,,,,,,,,,,,,,,4,76,,2,1,2,,16,,,,,,,,,,,,1,91,,,,,,,,,,,,,1,,112,,,6,,,,2,,,433
292.5,6469.046,0,13,,,,7,,2,0,0,0,0,0,55,,,0,1,0,,0,0,,0,,,0,,0,0,1,,,0,1,,40,,57,,0,12,,0,0,24,0,0,0,0,0,0,,0,0,0,0,,,0,,0,,0,1,2,52,,,0,,,14,,,0,0,0,0,0,0,,,0,2,77,0,0,,,0,0,,0,,,,0,0,,138,,0,5,3,,0,,,,440
298,6615.619,,,1,4,5,1,14,,,,,,,46,,5,,,,1,,,,,,,1,,,,,7,,,1,1,23,,59,3,1,,16,,,,,4,,,,,,,,,,,,1,,,1,3,,2,55,1,1,1,,,7,,,,2,,,,,,,,,36,1,,,,,,,1,,,,,,,100,,,8,1,,,,,,356
303,6737.763,1,6,,,,10,,0,0,1,0,0,0,39,,,0,1,0,,0,0,,0,,,0,,0,0,0,,,0,0,,28,,55,,0,9,,0,1,12,0,0,0,1,0,0,,0,0,0,0,,,0,,0,,0,0,2,63,,,0,,,12,,,0,0,0,0,0,0,,,0,0,59,0,0,,,0,0,,0,,,,0,0,,177,,0,4,2,,0,,,,441
