Depth (cm),Cal age,Cupressaceae,Picea,Picea rubens/undiff,Abies,Larix,Pinus undifferentiated,Pinus indeterminable,Pinus haploxylon,Pinus banksiana t.,Pinus diplox t.,P.inusrigida t.,Pinus diploxylon,Tsuga,Vesiculate conif.,Taxus,Populus,Salix,Betula,Betula - small,Betuloid,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Acer negundo,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Fagaceae,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,cf. Rhus,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Poaceae,Secale,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Stellaria,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Dennstaeditia, Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,Lycopodium undiff.,Osmunda,Woodsia,Monolete spore,Trilete spore,Polypodium,Dryopteris thelypteris,Myriophyllum,Sparganium t.,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Degraded,Unknown,Exotic counted,Exotic added,,upland sum
104,503.719,0,22,,1,1,23,,7,,,,1,77,,0,0,0,203,1,0,3,3,8,1,29,10,4,1,5,,2,0,1,0,1,0,75,0,0,0,0,0,0,2,0,0,0,16,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,1,1,0,0,0,3,0,0,8,,0,189,42716,,503
108,601.783,0,33,,2,1,26,,13,,,,4,101,,0,0,0,178,0,12,1,1,5,3,21,3,10,2,5,,3,0,3,3,0,0,60,0,0,0,0,0,0,4,0,0,0,19,0,0,,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,0,2,0,0,0,0,1,3,3,6,,0,245,42716,,521
112,699.846,0,26,,0,1,24,,14,,,,3,96,,0,0,0,178,0,10,4,3,4,0,16,4,14,0,10,,0,0,0,1,1,0,83,0,0,0,0,0,0,2,0,0,0,23,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,2,4,0,2,,0,241,42716,,519
116,784.219,1,21,,0,0,18,,7,,,,0,102,,0,0,0,186,0,6,1,3,4,1,20,14,8,3,12,,0,0,0,3,0,0,75,0,0,0,0,0,0,3,0,0,0,26,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,5,0,0,0,6,3,1,5,,0,245,42716,,516
120,839.81,0,36,,1,0,19,,4,,,,2,96,,0,0,1,168,0,14,3,3,3,2,18,5,8,0,6,,0,0,1,2,1,0,92,0,0,0,1,0,0,4,0,0,0,30,0,0,,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,0,0,0,0,0,0,6,,0,275,42716,,531
124,895.401,0,42,,3,0,18,,5,,,,1,108,,0,0,0,154,0,9,6,1,5,1,35,4,13,0,9,,1,1,0,1,1,0,75,0,0,0,0,0,0,1,0,0,0,19,0,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,0,0,0,4,2,0,9,,0,302,42716,,518
128,950.992,0,36,,0,0,12,,8,,,,2,119,,0,0,0,171,2,9,7,3,2,2,13,8,13,3,4,,0,0,0,0,0,0,76,0,0,2,0,0,0,6,0,0,0,36,0,0,,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,,0,0,1,0,0,0,1,1,0,2,,0,280,42716,,546
132,1006.583,1,18,,2,0,18,,11,,,,2,104,,0,0,0,170,6,8,4,3,6,0,22,7,8,2,4,,1,0,1,0,0,0,86,0,0,0,0,0,0,7,0,0,0,20,0,0,,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,,0,0,1,0,0,0,4,1,0,3,,0,336,42716,,524
136,1062.175,1,25,,1,0,17,,11,,,,4,93,,0,0,2,171,0,11,5,3,6,2,17,8,10,3,9,,2,1,1,3,1,0,62,0,1,0,0,0,1,13,0,0,0,32,0,0,,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,5,0,0,0,3,3,0,4,,0,245,42716,,526
140,1117.766,0,35,,0.5,0,16,,10,,,,6,89,,0,0,0,176,2,11,6,2,3,0,6,12,9,1,5,,0,0,0,5,1,0,94,0,0,0,0,0,0,12,0,0,0,30,0,0,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,1,1,0,0,0,1,2,0,0,,0,322,42716,,536.5
