Depth (cm),Cal age,Cupressaceae,Picea,Picea rubens/undiff,Abies,Larix,Pinus undifferentiated,Pinus indeterminable,Pinus haploxylon,Pinus banksiana t.,Pinus diplox t.,P.inusrigida t.,Pinus diploxylon,Tsuga,Vesiculate conif.,Taxus,Populus,Salix,Betula,Betula - small,Betuloid,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Acer negundo,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Fagaceae,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,cf. Rhus,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Poaceae,Secale,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Stellaria,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Dennstaeditia, Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,Lycopodium undiff.,Osmunda,Woodsia,Monolete spore,Trilete spore,Polypodium,Dryopteris thelypteris,Myriophyllum,Sparganium t.,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Degraded,Unknown,Exotic counted,Exotic added,,upland sum
603,7647.261,0,1,,0,2,24,,9,,,,2,152,,0,0,0,215,0,19,2,1,4,1,14,6,17,1,2,,2,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,22,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,1,3,,2,53,21358,,517
607,7709.911,,,,,,,17,10,,,1,,83,,,,,171,,,3,3,2,,4,5,8,,,1,,,1,,2,,16,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,9,,1,21,21358,,332
613,7803.886,0,1,,0,0,30,,14,,,,5,156,,0,0,1,213,0,7,9,1,7,0,28,7,14,1,3,,3,0,0,0,0,0,21,0,1,0,0,0,0,2,0,0,0,10,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,3,,1,107,42716,,537
617,7866.537,,,,,,,25,6,,,,,63,3,,,,167,,,2,,2,,12,12,8,2,,1,,,,,,,14,,,,,,,5,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,15,3,,44,21358,,328
623,7960.512,,,,0,1,43,,14,,,,5,116,,0,0,0,204,0,12,0,1,9,0,16,6,18,4,2,,1,0,1,3,2,0,21,0,0,0,0,0,0,1,0,0,0,34,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,1,0,0,0,0,0,1,2,10,,0,86,21358,,519
627,8023.163,,,,,,1,29,7,2,1,2,,99,,,,,162,,,5,4,3,,5,7,11,1,2,1,1,,1,,,,14,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,14,4,1,56,21358,,364
633,8117.138,0,1,,0,0,55,,18,,,,2,105,,0,0,0,233,1,4,5,0,3,2,28,2,13,0,3,,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,1,15,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,0,0,0,0,0,0,1,1,0,6,,0,139,42716,,516
637,8179.788,,,,,,1,33,15,,,1,,103,,,,,148,,,2,2,3,,10,6,6,1,,1,2,,,1,1,,2,,1,,,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,1,,,,,,2,,,,,,,,,2,,,11,4,1,37,21358,,350
643,8273.764,,,,0,1,72,,15,,,,4,202,,0,0,0,141,0,8,2,0,1,2,24,8,2,1,3,,1,0,1,1,1,0,14,0,0,0,0,0,0,2,0,0,0,23,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,1,0,0,0,0,2,0,1,2,,0,55,21358,,531
647,8336.414,2,,,1,1,1,57,21,8,3,2,,150,1,,,,116,,,3,,3,,23,4,3,,4,1,,,,,2,,5,,,,,1,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,6,,56,21358,,416
653,8448.165,0,1,,0,0,78,,36,,,,2,172,,0,0,0,81,1,4,6,1,7,0,68,9,16,2,8,,2,0,1,0,2,0,10,0,0,0,0,0,0,0,0,0,1,11,0,0,,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,0,0,0,0,3,0,0,3,,1,77,42716,,526
663,8894.652,,1,,1,0,183,,97,,,,10,99,,0,0,0,50,0,4,1,0,9,0,34,3,6,2,2,,0,0,0,1,0,0,7,0,0,0,0,0,0,1,0,0,1,10,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,1,0,,0,58,21358,,526
673,9253.833,0,1,,4,0,174,,110,,,,26,66,,0,0,0,60,0,2,6,1,8,0,56,4,8,2,3,,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,1,3,,0,75,42716,,548
683,9581.813,,,,1,2,152,,83,,,,23,97,,0,0,0,39,0,3,3,1,13,3,62,8,18,5,1,,2,0,0,1,3,0,4,0,0,1,0,0,0,5,0,0,1,10,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,2,0,1,7,,0,69,21358,,545
693,9906.506,0,1,,1,1,172,,102,,,,15,57,,0,0,0,48,0,0,5,1,3,3,84,9,12,4,2,,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,6,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,0,2,,0,102,42716,,531
703,10256.85,,2,,1,0,214,,104,,,,31,32,,0,0,0,34,0,7,7,1,6,4,48,6,3,4,5,,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,16,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,,0,1,0,0,0,0,4,0,0,4,,0,66,21358,,538
713,10595.6,0,11,,4,3,139,,98,,,,23,14,,0,0,0,43,1,7,11,4,8,4,115,3,11,3,4,,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,3,12,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,1,1,0,5,,0,73,42716,,530
723,10924.62,,2,,2,3,127,,100,,,,28,28,,0,0,0,55,0,6,4,0,7,2,92,20,5,1,1,,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,2,16,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,3,0,0,2,,0,102,21358,,518
733,11263.59,1,1,,2,3,200,,33,,,,12,5,,0,0,0,122,0,10,3,2,5,3,66,17,7,1,3,,0,0,1,0,0,0,5,0,1,0,0,0,0,3,0,0,1,11,0,0,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,1,0,0,0,4,0,0,3,,0,52,42716,,522
743,11616.58,1,6,,12,3,189,,70,,,,27,2,,0,0,0,106,0,1,1,1,6,1,52,6,5,2,3,,0,0,0,1,0,0,2,0,0,0,0,0,0,4,0,0,1,21,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,4,,0,48,21358,,527
753,12074.68,1,5,,5,7,85,,18,,,,10,3,,0,0,1,232,0,18,10,3,8,2,52,14,2,1,3,,0,0,1,0,3,0,2,0,0,0,0,0,0,11,0,3,3,15,0,0,,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,,0,0,0,0,0,0,6,0,0,7,,3,78,42716,,538
763,12410.3,4,38,,44,15,124,,17,,,,15,2,,0,0,1,110,0,10,3,4,19,9,34,6,6,0,0,,0,0,1,2,1,0,0,0,0,0,0,0,0,34,0,6,4,23,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,1,8,0,0,0,0,,0,0,0,0,0,0,5,1,3,2,,1,91,21358,,553
773,12745.92,2,92,,2,24,117,,27,,,,17,4,,0,5,4,65,2,5,4,1,10,6,25,3,2,1,1,,0,0,1,0,0,0,0,0,0,1,0,0,0,98,0,6,1,7,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,19,3,0,0,0,,2,0,0,0,0,0,9,6,0,9,,0,153,42716,,566
783,13081.53,3,81,,1,12,142,,25,,,,15,2,,0,0,4,91,0,15,2,2,4,3,23,3,1,0,0,,0,0,1,0,0,0,2,1,0,0,0,0,0,50,0,3,0,29,0,0,,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,30,0,0,9,1,0,0,0,,1,1,0,0,0,0,4,2,2,5,,0,157,21358,,577
793,13417.15,5,164,,1,5,128,,21,,,,14,2,,0,1,4,85,1,16,2,0,0,1,6,2,1,0,4,,0,0,0,0,0,0,1,0,0,0,0,0,0,65,0,4,1,7,0,1,,0,0,0,0,0,2,0,2,0,0,0,2,0,1,0,0,0,2,2,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,,1,1,0,0,0,0,9,3,0,6,,0,341,42716,,584
803,13752.77,5,229,,4,0,150,,32,,,,18,2,,0,0,3,36,4,7,3,0,3,2,2,0,0,0,0,,0,0,0,2,0,0,0,0,0,0,0,0,2,7,0,1,0,18,0,0,,0,0,0,0,0,4,0,0,1,0,0,3,0,0,0,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,5,0,1,3,,0,132,21358,,567
813,13924.35,4,185,,0,0,215,,17,,,,20,1,,0,0,0,37,0,3,2,0,3,2,3,0,1,0,0,,0,0,0,0,1,0,1,0,1,0,0,0,0,20,0,0,0,8,0,0,,0,0,0,0,0,8,0,0,7,6,0,3,0,0,0,0,0,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,10,2,0,6,,3,355,42716,,588
823,14073.18,2,24,,1,3,60,,30,,,,12,63,,0,0,0,160,6,4,8,0,11,0,30,9,5,1,1,,3,0,0,1,0,0,55,0,1,0,0,0,0,6,0,0,1,23,0,0,,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,2,0,5,,0,133,21358,,535
