core,Sample,Cupressaceae,Picea,Abies,Larix,Pinus total,Pinus undiff,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Ostrya-Carpinus,Fraxinus nigra,Fraxinus americana,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer undifferentiated,Tilia,Juglans nigra,Juglans cinerea,Carya,Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Fraxinus undifferentiated,Morus,Ilex,Alnus rugosa,Alnus crispa,Corylus,Myrica-Comptonia,Rhamnus-Vitis,Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Poaceae,Zea,Artemisia,Ambrosia,Urtica spp.,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bistoides,Polygonaceae,Umbelliferae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Stellaria,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva ciliata,Denstaedtia,Pteridium,Botrychium,Lycopodium lucidulum,Lycopodium annotinum,Lycopodium obscurum,Lycopodium complanatum,Lycopodium inundatum,Lycopodium undiff.,Osmunda,Woodsia,Monolete spore,Trilete spore,Ruppia,Polypodium,Dryopteris thelypteris,Brasenia,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Indetermined crumpled,Indetermined broken,Indetermined coroded,Indetermined obscured,Unidentified,Unknown,Exotic,Charcoal:Pollen,trees and shrubs,herbs,ferns,aquatics,indeterminable,upland pollen sum,pollen sum + aquatics,total pollen sum
surface,50.5,3,7,0,1,63,42,23,8,74,0,0,0,180,0,1,3,8,61,5,9,6,2,3,1,3,4,1,0,53,30,0,0,3,0,2,7,0,0,7,0,2,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,4,10,2,2,0,1,276,72,547,7,8,3,19,562,565,584
surface,52.5,1,6,1,0,75,55,16,4,88,0,0,0,153,1,4,2,5,78,5,6,4,2,0,0,1,3,0,0,78,29,0,0,0,0,3,4,0,1,4,0,2,0,0,0,1,1,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,3,0,5,5,2,0,0,11,234,83,560,8,11,4,23,579,583,606
surface,54.5,1,9,1,0,68,50,14,4,102,0,0,0,166,0,2,2,5,68,4,12,10,1,1,0,1,1,1,0,108,21,0,0,0,0,4,6,0,10,0,0,1,1,0,0,0,1,0,0,4,0,1,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,9,6,3,2,0,3,288,51,610,13,11,2,23,634,636,659
surface,56.5,1,5,0,0,56,40,12,4,103,0,0,0,175,1,1,2,6,48,2,9,10,0,1,0,1,8,1,0,98,17,1,0,3,0,5,2,0,2,6,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,1,0,5,5,2,0,0,2,306,61,568,6,8,2,14,582,584,598
surface,58.5,3,3,1,0,51,29,15,7,125,0,0,1,163,0,3,1,5,45,3,11,6,1,0,0,1,3,0,0,94,14,0,0,1,0,3,0,0,0,1,10,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10,7,3,1,0,1,238,67,557,4,7,3,22,568,571,593
surface,60.5,1,9,0,0,67,35,23,9,70,0,0,0,162,0,2,3,10,82,3,9,5,1,0,0,0,6,1,0,87,12,2,0,0,0,4,2,0,0,9,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,2,0,2,291,47,558,5,10,3,13,573,576,589
surface,62.5,4,5,0,0,50,31,13,6,91,0,0,0,167,0,2,4,6,71,4,11,4,0,2,0,0,2,1,0,110,13,0,1,1,0,6,2,0,1,11,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,2,2,3,0,1,296,43,575,7,5,2,15,587,589,604
surface,64.5,2,10,0,0,54,25,15,14,97,0,0,0,162,0,2,2,11,55,4,10,6,1,0,0,0,6,1,0,114,9,0,0,2,0,1,2,0,1,19,0,1,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,1,0,2,255,48,586,8,9,0,12,603,603,615
surface,66.5,2,4,0,0,53,42,5,6,113,0,0,0,152,0,2,2,4,53,3,12,4,1,1,0,0,3,1,0,101,9,1,1,2,0,3,2,0,1,14,0,1,1,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,6,2,2,1,0,2,179,38,552,9,7,2,13,568,570,583
surface,68.5,3,3,1,0,45,28,10,7,118,0,0,1,149,1,1,1,7,69,5,8,3,1,1,0,0,6,0,0,110,5,0,0,2,0,3,1,0,1,9,0,2,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,0,0,1,254,46,564,7,3,0,10,574,574,584
surface,70.5,1,2,0,0,48,29,14,5,103,0,1,0,143,0,3,4,4,39,6,12,7,2,1,0,0,5,2,0,116,10,1,0,1,0,2,1,0,0,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,5,3,2,2,0,1,192,55,530,2,6,1,13,538,539,552
surface,72.5,2,11,1,0,55,43,6,6,102,0,0,0,155,0,5,2,7,56,3,10,7,2,1,0,3,5,4,0,119,11,0,0,2,0,2,9,0,0,9,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,5,5,0,2,0,0,260,64,592,3,7,2,12,602,604,616
surface,74.5,1,5,1,0,49,29,14,6,102,0,0,0,141,0,3,1,11,69,6,14,3,2,1,1,1,4,1,0,114,4,1,0,1,0,3,4,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,1,0,0,197,31,556,2,6,0,12,564,564,576
surface,76.5,2,5,1,0,50,30,11,9,69,0,1,0,175,0,2,2,11,54,4,8,2,2,0,0,0,3,2,0,132,11,0,0,1,0,2,4,0,0,15,0,1,0,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,2,4,0,1,0,0,212,53,568,6,9,4,7,583,587,594
