"","x"
"352","Glomus"
"353","Graminae"
"354","Gymnocarpium"
"355","Gymnocarpium."
"356","Gymnocarpium.t."
"357","Haloragaceae"
"358","Hamamelidaceae"
"359","Hamamelis"
"360","Hamamelis.virginiana"
"361","Hammamelis"
"362","Helianthaceae"
"363","Helianthemum"
"364","Helianthus"
"365","Herb.pollen"
"366","herbs"
"367","Hernaria.t."
"368","Heteranthera"
"369","Hidden"
"370","Hippuris.t."
"371","Hippuris.vulgaris"
"372","Hudsonia"
"373","Humulis.Cannabis"
"374","Humulus"
"375","Humulus.Cannabis"
"376","Humulus.Cannabis.sativa"
"377","Huperzia.lucidula"
"378","Huperzia.selago"
"379","Huperzia.selago.H..lucidula"
"380","Hydrocotyle"
"381","Hydrocotyle.t."
"382","Hypericum"
"383","Hypericum.t."
"384","Ilex"
"385","Ilex.Nemopanthus"
"386","Impatiens"
"387","Impatiens.capensis"
"388","ind"
"389","Indet..Broken"
"390","Indet..Coroded"
"391","Indet..crumpled"
"392","Indet..Degraded"
"393","Indet..Obscured"
"394","Indet.Crumpled"
"395","indeterminable"
"396","Indeterminable"
"397","indeterminable.and.unknown"
"398","indeterminable.and.unknown.1"
"399","Indeterminable.undiff."
"400","Indetermined.broken"
"401","Indetermined.coroded"
"402","Indetermined.crumpled"
"403","Indetermined.obscured"
"404","Iridaceae"
"405","Iris"
"406","Iso"
"407","Isoetes"
"408","Isoëtes"
"409","Itea"
"410","Iva"
"411","Iva.annua"
"412","Iva.annua.type"
"413","Iva.ciliata"
"414","Iva.ciliata.t."
"415","Iva.sp."
"416","Iva.undiff."
"417","Juglans"
"418","Juglans.c"
"419","Juglans.cinera"
"420","Juglans.cinera.t."
"421","Juglans.cinerea"
"422","Juglans.Cinerea"
"423","Juglans.n"
"424","Juglans.nigra"
"425","Juglans.nigra.t."
"426","Juglans.undiff."
"427","Juniperus"
"428","Juniperus.Thuja"
"429","Kalmia"
"430","Kalmia.t..ER"
"431","L..annotinum"
"432","L..complanatum"
"433","L..inundatum"
"434","L..inundatum.t."
"435","L..lucidulum"
"436","L..obscurum.t."
"437","L..obscurum.t.."
"438","L..selago.t."
"439","Lamiaceae"
"440","Lamiaceae.1"
"441","Lamiaceae.undiff."
"442","Larix"
"443","Larix.1"
"444","Larix.laricina"
"445","lat"
"446","Ledum.Chamydaphnea"
"447","Ledum.t."
"448","Lemna"
"449","Lemna..t."
"450","Lemnoideae"
"451","Liguliflorae"
"452","Liliaceae"
"453","Liliaceae.undiff."
"454","Linnaea.borealis"
"455","Linum"
"456","Liquidambar"
"457","Liquidambar.styraciflua"
"458","Liriodendron"
"459","Liriodendron.tulipifera"
"460","Liriodendron.type"
"461","Littorella"
"462","Lobelia.type"
"463","lon"
"464","Lonicera"
"465","Ludwigia.cf..palustris"
"466","Lyc."
"467","Lyc..annotinum"
"468","Lyc..clavatum"
"469","Lyc..Clavatum"
"470","Lyc..Inundatum"
"471","Lyc..lucidulum"
"472","Lyc..Lucidulum"
"473","Lyc.a"
"474","Lyc.cl"
"475","Lycae.ud"
"476","Lyco.markers"
"477","Lycopod.cor.SA"
"478","Lycopodiaceae"
"479","Lycopodiaceae.undiff."
"480","Lycopodiella.inundata"
"481","Lycopodium"
"482","Lycopodium.annotinum"
"483","Lycopodium.annotinum.type"
"484","Lycopodium.clavatum"
"485","Lycopodium.complanatum"
"486","Lycopodium.inunadatum"
"487","Lycopodium.inundatum"
"488","Lycopodium.inundatum.T."
"489","Lycopodium.lucidulum"
"490","Lycopodium.lucidulum.t."
"491","Lycopodium.lucidum.t."
"492","Lycopodium.obscurum"
"493","Lycopodium.sp"
"494","Lycopodium.sp."
"495","Lycopodium.sp.."
"496","Lycopodium.type"
"497","Lycopodium.undiff."
"498","Lycopodium.undifferentiated"
"499","Lycopus"
"500","Lycopus.type"
"501","Lythrum"
"502","Magnolia"
"503","Magnolia.sp."
"504","Maianthemum"
"505","Malvaceae"
"506","Matteuccia.struthiopteris"
"507","Melampyrum"
"508","Melampyrum.type"
"509","Menispermum"
"510","Mentha"
"511","Mentha.arvensis"
"512","Menyanthes"
"513","Menyanthes.t."
"514","Menyanthes.trifoliata"
"515","Micranthes.cf..M..punctata"
"516","Micranthes.cf..M..stellaris"
"517","Mitchella.repens"
"518","Monolete.spore"
"519","Monotropa"
"520","Moraceae"
"521","Moraceae.undiff."
"522","Moraceae.Urtica"
"523","Morus"
"524","Myrica"
"525","Myrica.Comptonia"
"526","Myrica.Comptonia.peregrina"
"527","Myrica.gale"
"528","Myricaceae"
"529","Myriophyllum"
"530","Myriophyllum.alterniflorum"
"531","Myriophyllum.exalbescens.type"
"532","Myriophyllum.sibiricum.type"
"533","Myrtaceae.t."
"534","Nemopanthus"
"535","Non.conifer"
"536","Non.conifer..ER.."
"537","Nuphar"
"538","Nupher"
"539","Nymphaea"
"540","Nymphaeaceae"
"541","Nymphaeaceae.undiff."
"542","Nymphoidaea"
"543","Nymphoides"
"544","Nymphoides.cordata"
"545","Nyssa"
"546","Obscured"
"547","Oenothera"
"548","Oenotheraceae"
"549","Onagraceae"
"550","Onagraceae.undiff."
"551","Ononis.type"
"552","Ophioglossaceae"
"553","Ophioglossum"
"554","Ophioglossum.type"
"555","Orchidaceae"
"556","Osmunda"
"557","Osmunda.cinamomea"
"558","Osmunda.regalis.O..claytoniana"
"559","Osmunda.regalis.type"
"560","Osmunda.spp."
"561","Osmundaceae"
"562","Osmundaceae.undiff."
"563","Osmundastrum.cinnamomeum"
"564","Ostrya"
"565","Ostrya.carpinus"
"566","Ostrya.Carpinus"
"567","Osu"
"568","Other.Aquatics"
"569","other.Ericaceae"
"570","Other.herbs"
"571","Other.Pterid"
"572","Other.shrubs"
"573","Other.trees"
"574","Oxalidaceae"
"575","Oxyria.digyna"
"576","Parnassia"
"577","Paronychia.sp"
"578","Paronychia.t."
"579","Parthenocissus"
"580","Parthenocissus.t."
"581","Pediastrum"
"582","Pedicularis"
"583","Persicaria.amphibia"
"584","Persicaria.lapathifolia"
"585","Persicaria.lapathifolia.type"
