"","site.id","dataset.id","site.name","lon","lat","depth","sample.number","Ash","Beech","Birch","Chestnut","Elm","Hemlock","Hickory","Maple","Oak","Other conifer","Other hardwood","Pine","Poplar","Spruce","Tamarack"
"64","10157",15296,"Byron-Bergen Swamp (Site 1)",-78.014515,43.09791,40,4,0,15,20,0,62,8,1,44,4,0,25,64,0,1,5
"65","10172",15325,"Black Gum Swamp",-72.1829,42.5375,17,8,8,39,153,36,3,21,2,12,88,0,29,91,6,19,0
"66","10362",15764,"Lily Pond",-72.34693,42.417875,50,21,6,61,70,56,4,33,15,14,190,0,20,67,1,7.5,0
"67","10389",15820,"Prospect Hill II",-72.18,42.5625,21,15,1,16,26,17,0,11,0,0,20,0,1,7,0,1,0
"68","10400",15857,"Slab City",-72.1775,42.508,19,19,20,32,108,72,2,107,2,9,84,0,5,67.5,0,0,0
"69","2536",15866,"Tannersville Bog",-75.263845,41.038875,240,24,55,6,23,3,0,17,8,1,45,0,3,12,0,21,0
"70","10422",15904,"Divers Lake",-78.399245,43.04099,81,11,32,37,40,8,35,27,19,15,140,0,49,71,3,1,0
"71","10424",15909,"Ballston Lake",-73.85325,42.94975,235,7,9,140,30,0,6,100,31,14,69,4,17,81,3,2,4
"72","10435",15935,"Little Mirror Lake",-71.60848,42.524435,53,27,0,30,77,13,5,58,6,11,170,1,18,110,1,16,0
"73","10438",15944,"Silver Lake",-72.22854,42.600775,47,24,6,39,113,20,3,40,3,16,85,0,12,114,0,3,0
"74","10515",16175,"Binnewater Pond",-74.551335,41.40935,60,6,4,16,37,5,7,30,23,5,174,1,78,18,0,0,0
"75","11805",17880,"Lost Swamp",-72.4211,42.82814,29,13,5,85,185,8,1,35,3,30,24,0,30,52.5,0,1.5,0
"76","13583",20515,"Lake Grinnell",-74.63963,41.098185,16,3,1,5,17,0,3,26,33,4,140,0,3,27,0,0,5
"77","13629",20618,"Quag Pond",-71.95695,42.56725,46,23,5,105,146,7,2,105,3,11,62,0,6,42,0,14,1
"78","13633",20627,"Snake Pond",-72.016405,42.55585,43,22,0,108,100,7,5,129,3,16,71,0,8,41,1,22,0
"79","10188",15352,"Heart's Content Bog",-73.975,42.2405,70,8,16,3,12,2,2,41,20,7,103,0,50,49,10,0,2
"80","10287",15598,"Allenberg Bog",-78.878,42.252,37.5,9,13,92,92,4,22,143,13,45,96,0,30,37,1,13,7
"81","2212",2289,"Rose Lake",-77.925,41.916667,78,2,3,78,115,13,2,86,5,37,27,0,4,35,0,2,0
"82","510",523,"Crider's Pond",-77.55,39.966667,25,3,1,2,1,16,0,2,8,4,141,0,8,58,0,0,0
"83",NA,0,"Barnes",-75.226,43.56444,0,0,1,45,55,1,8,59,3,6,11,0,6,8.5,0,11.5,0
"84",NA,0,"Big Moose Lake",-74.85,43.81,0,0,7,24,85,0,5,23,0,10,11,1,9,36,0,28,0
"85",NA,0,"Bloomingdale Bog Upper",-74.13833,44.38361,0,0,0,11,45,0,0,19,0,6,7,0,1,106,0,17,0
"86",NA,0,"Blood Pond",-71.962,42.08,0,0,11,31,84,12,2,47,16,8,196,0,26,114,2,4,0
"87",NA,0,"Deep Lake",-74.664,43.61,0,0,4,21,112,0,8,18,0,1,21,1.5,5,31.5,0,25.5,0
"88",NA,0,"Knob Hill",-72.3737,44.3605,0,0,10,75,179,1,8,62,1,15,19,1,13,54,1,34,0
"89",NA,0,"Larkum",-73.06,42.165,0,0,14,40,116,5,6,78,5,3,129,0,41,56,5,1,2
"90",NA,0,"Little Willey Pond",-71.1778,43.2918,0,0,2,48,76,2,0,81,3,13,23,0,8,31,0,9,0
"91",NA,0,"Little Royalston",-72.192,42.675,0,0,9,53,109,17,8,80,2,15,100,0,10,89,3,16,0
"92",NA,0,"North Round Pond",-72.452,42.848,0,0,16,61,142,73,1,63,3,21,92,0,12,60,0,5,0
"93",NA,0,"Pecker",-71.965,42.713,0,0,17,73,153,40,2,71,3,16,73,0,19,58,0,10,0
"94",NA,0,"Pickerel",-72.484,42.17,0,0,11,18,64,3,8,30,20,6,162,0,18,172,1,5,0
"95",NA,0,"Uncas",-71.377278,42.062667,0,0,10,21,59,5,4,30,20,9,249,1,37,47,1,4,0
"96",NA,0,"Walden",-71.338,42.43907,0,0,10,21,78,4,4,28,17,6,176,0,24,125,0,12,0
"97",NA,0,"Wickett",-72.432,42.551,0,0,13,45,112,67,1,75,4,12,93,0,12,80,0,2,0
"98",NA,0,"benson",-73.1,42.38,0,0,14,75,129,4,10,97,14,21,63,0,22,16.5,0,2,0
"99",NA,0,"berry-andover",-71.0873,42.621,0,0,5,19,69,3,5,44,15,5,270,0,29,51.5,0,1,0
"100",NA,0,"black",-70.79,41.3281,0,0,6,20,27,2,3,11,27,7,110,0,12,15,0,0,0
"101",NA,0,"blaneys",-70.7652,41.4717,0,0,1,29,26,0,2,10,12,7,84,0,23,70,0,4,0
"102",NA,0,"deep-falmouth",-70.6358,41.5641,0,0,6,19,43,5,3,11,17,9,280,0,22,57,0,1.5,0
"103",NA,0,"deep-taunton",-71.0115,41.88,0,0,2,10,29,1,1,11,11,4,144,0,9,78,0,5,0
"104",NA,0,"doe",-72.702,42.175,0,0,20,30,80,4,4,39,21,9,201,0,11,83,1,4,0
"105",NA,0,"guilder",-73.4372,42.1094,0,0,20,26,35,2,2,61,18,5,88,0,19,26,0,0,0
"106",NA,0,"sears",-72.5783,40.8845,0,0,0,4,36,0,3,11,18,2,140,0,11,74,0,2,0
"107",NA,0,"umpawaug",-73.4497,41.3061,0,0,6,6,25,8,3,15,25,3,129,0,33,28,0,0,0
"108",NA,0,"uncleseths",-70.6647,41.4331,0,0,0,8,32,0,3,12,22,3,124,0,11,41,3,4,0
"109",NA,0,"ware",-70.8825,42.4825,0,0,1,14,35,0,5,24,31,5,162,0,22,46,0,7,0
"110",NA,0,"westside",-73.2566,41.8556,0,0,2,21,45,10,4,32,17,4,92,0,30,28,5,0,0
