"","meters.east","meters.north","Ash","Atlantic white cedar","Basswood","Beech","Birch","Cherry","Chestnut","Dogwood","Elm","Fir","Hemlock","Hickory","Ironwood","Maple","Oak","Pine","Spruce","Tamarack","Walnut","Other hardwood","Black gum/sweet gum","Cedar/juniper","Poplar/tulip poplar"
"23603",1677000,694000,0.0071,2e-07,0.01185,0.39865,0.104,0.00125,0.0108,2e-07,0.01325,1e-04,0.08165,7e-04,0.02405,0.1477,0.02055,0.0162,1e-04,2e-07,0.01005,0.00555,2e-07,2e-07,9e-04
"23604",1685000,694000,0.0053,2e-07,0.0105,0.2744,0.1279,0.0014,0.0039,2e-07,0.04285,0.00135,0.2045,5e-04,0.02805,0.116,0.01415,0.01415,3e-04,2e-07,0.01825,0.0164,2e-07,2e-07,7e-04
"23605",1693000,694000,0.005,2e-07,0.0115,0.30365,0.10815,0.0024,0.00115,2e-07,0.05165,0.0057,0.21885,2e-04,0.03745,0.12055,0.00905,0.01115,0.00135,2e-07,0.0126,0.01695,2e-07,2e-07,5e-04
"23606",1701000,694000,0.00565,2e-07,0.0198,0.34505,0.0593,0.00565,2e-04,2e-07,0.0269,0.0129,0.1203,2e-04,0.0579,0.15575,0.00565,0.0015,0.0075,2e-07,0.0031,0.01075,2e-07,2e-07,8e-04
"23607",1709000,694000,0.00605,2e-07,0.02955,0.36725,0.05055,0.01285,1e-04,2e-07,0.01735,0.00585,0.14045,3e-04,0.08965,0.17315,0.00455,0.00155,0.004,2e-07,0.0012,0.00855,2e-07,2e-07,0.00135
"23608",1717000,694000,0.0049,2e-07,0.02185,0.46135,0.0433,0.0056,1e-04,2e-07,0.00855,7e-04,0.12365,3e-04,0.0402,0.14045,0.0076,0.00455,3e-04,2e-07,0.00045,0.0038,2e-07,2e-07,0.0018
"23609",1725000,694000,0.00485,2e-07,0.0121,0.42965,0.0392,0.0018,1e-04,2e-07,0.00445,2e-04,0.21125,4e-04,0.01995,0.10305,0.0039,0.01265,6e-04,2e-07,2e-04,0.00305,2e-07,2e-07,0.0017
"23610",1733000,694000,0.00685,2e-07,0.0062,0.51105,0.04505,9e-04,1e-04,2e-07,0.0026,2e-07,0.21315,8e-04,0.026,0.09495,0.00235,0.0211,0.006,2e-07,2e-04,0.0024,2e-07,2e-07,0.00135
"23611",1741000,694000,0.0209,2e-07,0.0088,0.4203,0.0539,0.0014,2e-04,2e-07,0.00285,1e-04,0.2172,0.005,0.0251,0.1043,0.0353,0.0138,0.00075,2e-07,3e-04,0.0027,2e-07,2e-07,0.00315
"23612",1749000,694000,0.03245,2e-07,0.01325,0.32805,0.0428,0.0013,7e-04,2e-07,0.0032,1e-04,0.26245,0.00835,0.02125,0.1261,0.04305,0.008,0.0012,2e-07,3e-04,0.00375,2e-07,2e-07,0.00445
"23613",1757000,694000,0.0268,2e-07,0.0081,0.44745,0.02165,5e-04,0.0013,2e-07,0.0031,2e-07,0.2492,0.0063,0.0075,0.1229,0.01085,0.00315,4e-04,2e-07,3e-04,0.00295,2e-07,2e-07,0.0016
"23614",1765000,694000,0.049,2e-07,0.0042,0.3589,0.0269,6e-04,0.007,2e-07,0.0061,2e-07,0.2106,0.01225,0.0052,0.09935,0.05005,0.0196,1e-04,2e-07,7e-04,0.00385,2e-07,2e-07,0.0028
"23615",1773000,694000,0.05045,2e-07,0.00335,0.081,0.02345,8e-04,0.0208,2e-07,0.01115,2e-07,0.04375,0.0248,0.0069,0.0989,0.3168,0.13135,2e-07,2e-07,0.0015,0.0054,2e-07,2e-07,0.0049
"23616",1781000,694000,0.0177,2e-07,0.00175,0.0021,0.006,4e-04,0.0194,2e-07,0.02095,2e-07,0.0018,0.07505,0.0161,0.10805,0.49825,0.12805,2e-07,1e-04,0.0026,0.0116,2e-07,2e-07,0.00845
"23617",1789000,694000,0.01525,2e-07,0.0024,0.0022,0.00775,6e-04,0.03245,2e-07,0.02865,2e-07,0.002,0.0916,0.01095,0.0979,0.5082,0.05795,2e-07,1e-04,0.0042,0.02565,2e-07,2e-07,0.0107
"23618",1797000,694000,0.02425,2e-07,0.0039,0.0124,0.01915,0.0013,0.0747,2e-07,0.0203,2e-07,0.00875,0.0886,0.0055,0.0901,0.39585,0.04875,2e-07,1e-04,0.0044,0.055,2e-07,2e-07,0.00965
