"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11"
"116";0,563;0,722;1,215;0,981;0,409;3,876;88,648;0;3,347;0,239;0
"117";2,095;12,575;10,022;5,808;6,086;11,407;13,913;0;34,881;3,214;0
"118";10,442;9,216;13,024;2,119;9,353;2,91;24,454;0;21,757;6,724;0
"119";0;2,184;6,096;0,772;1,221;0,65;3,123;0;83,723;2,231;0
"120";0,998;2,775;2,622;2,208;10,938;5,828;32,945;0;40,523;1,163;0
"121";2,767;4,524;7,238;3,843;8,375;5,054;20,299;0;45,399;2,499;0
"122";15,816;10,245;6,658;1,998;28,18;7,408;11,145;0;15,927;2,623;0
"123";1,61;5,639;6,343;8,053;7,464;7,632;17,793;0;44,106;1,361;0
"124";6,695;8,646;13,374;4,062;22,55;1,533;22,621;0;17,753;2,766;0
"125";5,354;7,54;4,14;3,457;4,667;5,624;12,439;0;54,986;1,792;0
"126";5,46;4,341;18,835;8,898;11,028;5,509;13,342;0;29,046;3,541;0
"127";6,373;21,086;2,069;0,644;26,974;1,535;4,542;0;36,458;0,318;0
"128";3,922;14,487;5,742;2,67;13,063;4,937;6,837;0;38,846;9,497;0
"129";10,991;5,322;28,838;2,842;8,776;2,332;13,515;0;24,122;3,264;0
"130";4,759;7,215;15,129;5,458;3,124;2,788;10,593;0;42,84;8,093;0
"131";0;14,024;5,456;1,784;5,87;19,618;11,879;0;37,815;3,554;0
"132";10,071;8,468;12,536;9,268;5,119;3,469;29,715;0;19,116;2,24;0
"133";4,805;8,804;9,831;2,951;8,619;4,628;20,048;0;38,897;1,417;0
"134";2,479;35,65;5,112;1,853;2,819;13,753;11,016;0;25,5;1,817;0
"135";0;6,349;4,976;2,81;3,026;53,591;16,911;0;9,679;2,659;0
"136";0;17,521;20,604;2,652;13,504;5,127;14,948;0;23,85;1,794;0
"137";2,484;6,122;3,981;1,674;3,915;8,446;5,632;0;67,25;0,495;0
"138";7,552;9,976;3,453;1,888;7,391;3,483;16,471;0;47,214;2,572;0
"139";3,693;26,137;8,698;4,298;7,007;3,289;22,306;0;22,253;2,319;0
"140";4,557;24,256;2,293;4,312;7,801;30,118;8,277;0;15,931;2,454;0
"141";0;6,897;14,749;11,842;7,872;32,559;7,909;0;16,535;1,637;0
"142";1,499;5,066;4,762;0,796;10,061;3,958;61,954;0;9,653;2,25;0
"143";5,231;2,61;6,506;0,782;3,245;12,906;4,488;0;11,759;52,474;0
"144";1,394;8,852;11,245;13,116;6,345;22,075;7,672;0;28,104;1,196;0
"145";2,524;1,673;4,75;1,487;5,755;1,485;4,384;0;77,009;0,931;0
"146";1,882;32,876;6,166;14,322;3,1;16,841;7,182;0;16,317;1,314;0
"147";1,427;9,274;26,773;22,237;10,475;1,839;12,746;0;13,926;1,303;0
"148";0,535;84,783;4,832;0,889;0,774;3,105;1,569;0;3,058;0,455;0
"149";1,669;10,058;11,448;25,097;10,244;0;12,059;0;19,43;9,994;0
"150";17,286;9,211;8,46;13,825;6,521;5,174;3,658;0;34,235;1,631;0
"151";1,94;7,6;5,91;1,805;4,003;2,532;4,954;0;70,417;0,838;0
"152";10,056;3,47;8,995;4,258;5,978;4,48;13,954;0;36,558;12,25;0
"153";0,806;37,577;8,36;4,564;4,273;7,186;4,878;0;30,125;2,23;0
"154";0;50,928;5,924;5,608;5,319;3,678;15,141;0;12,565;0,836;0
"155";1,751;35,134;11,828;3,962;6,689;1,744;12,23;0;22,297;4,365;0
"156";0;29,576;11,613;6,854;7,872;2,134;4,849;0;35,596;1,508;0
"157";9,207;10,902;15,858;2,397;4,567;1,515;10,288;0;44,128;1,136;0
"158";14,788;6,574;6,735;27,091;10,097;2,878;7,181;0;23,251;1,405;0
"159";0,612;29,123;4,996;54,58;1,789;1,501;2,878;0;4,21;0,311;0
"160";2,398;8,468;11,029;5,625;8,521;22,7;14,196;0;24,521;2,543;0
"161";1,308;3,698;9,355;40,845;4,137;1,208;22,591;0;16,206;0,652;0
"162";3,535;7,352;5,447;20,653;11,658;6,828;17,625;0;24,869;2,034;0
"163";0,65;1,778;30,352;0,6;1,211;7,312;1,588;0;56,375;0,134;0
"164";2,578;5,379;6,134;1,223;4,088;1,94;9,972;0;68,021;0,665;0
"165";2,192;13,982;11,99;4,161;19,201;6,817;17,891;0;21,914;1,851;0
"166";2,462;3,893;4,916;1,004;3,658;53,815;8,854;0;18,482;2,915;0
"167";5,265;10,609;7,959;9,091;11,689;3,283;17,768;0;32,909;1,428;0
"168";49,761;3,451;5,544;2,855;3,16;13,717;7,519;0;7,554;6,439;0
"169";0;7,818;30,561;17,218;6,791;1,239;11,298;0;22,25;2,825;0
